Li-Zr-V-P-O
Li-Fe-Sn-P-O
K-Na-Li-S-O
Li-B-H-C-O
Li-Nb-Fe-Sn-O
Li-H-C-Br-N
Sr-Li-La-Nb-O
Li-Ti-Mn-Nb-O
Li-Ti-Cu-Sb-O
Rb-Li-Fe-C-N
Li-Ca-P-H-O
Li-Bi-P-C-O
Sr-Li-C-Br-N
Li-V-Ni-Sb-O
Li-Mn-V-Sn-O
Li-Cu-Ru-Rh-O
Li-Mn-Sb-W-O
Li-Mn-S-O-F
Li-V-B-S-O
Li-Mg-Al-Mo-O
Sr-Li-Cr-N-O
Li-V-Cr-W-O
Li-Si-Bi-B-O
Li-Ti-Nb-V-O
Na-Li-Zr-Si-O
Li-V-Cu-P-O
Li-Ni-H-S-O
Li-Nb-Cu-Te-O
Li-Fe-P-W-O
Li-Er-S-O-F
Li-Nb-V-Cr-O
K-Ba-Li-Zn-F
Li-Fe-Cu-W-O
Li-Mn-Sn-P-O
Li-P-H-C-O
Li-Nb-Te-W-O
Ba-Li-Ta-Ti-O
Li-Lu-P-C-O
Li-V-Sn-P-O
Li-Mn-Cr-W-O
Li-Mn-B-P-O
Li-Mg-Cr-S-O
Ba-Li-La-Mo-O
Li-Cu-P-C-O
Na-Li-P-H-O
Li-Ti-Fe-Sn-O
Li-Mn-Nb-Fe-O
Li-Mn-Ni-Te-O
Li-Mn-V-Sb-O
Li-Sn-P-C-O
Li-V-Co-Sn-O
Li-Mg-S-O-F
Li-V-Cr-Cu-O
Li-B-S-Cl-O
Li-Mn-V-Co-O
Li-V-Fe-W-O
Li-Si-B-Sb-O
Sr-Li-Si-N-O
Li-Cu-C-S-O
Li-Cu-Si-H-C
K-Li-Nd-Mo-O
Li-Fe-Sn-Te-O
Sr-Li-Ta-O-F
Li-Co-Cu-Sb-O
Li-Nb-Fe-Ni-O
Li-V-Ni-Te-O
Li-V-Cr-Sb-O
Li-Ti-In-P-O
Li-Ti-Fe-Cu-O
Li-Mn-Ni-Sb-O
Rb-Li-B-Sb-O
Li-Mn-B-As-O
Ba-Li-Cu-C-O
Li-P-W-C-O
Li-Sn-P-H-O
Na-Li-Mo-P-O
Li-Co-Ni-W-O
Li-Zr-Fe-P-O
Cs-K-Li-Fe-F
Li-Sb-H-O-F
K-Li-Ta-P-O
Na-Li-Cu-I-O
Ba-Li-Al-C-N
Na-Li-Mn-P-O
Li-Pr-P-C-O
Li-Ti-As-P-O
Li-Ti-Mn-Ni-O
Li-Hf-P-C-O
Li-Cu-H-C-O
Ba-Li-Mn-V-O
Li-Ca-B-H-O
Li-In-P-H-O
Ba-Na-Li-Co-F
Li-V-As-C-O
Li-Mn-Nb-V-O
Li-Mn-Ni-Sn-O
Ba-Li-Mg-P-O
Na-Li-B-P-O
Li-Ca-Fe-Sn-O
Li-Fe-Sb-P-O
Li-Ti-Cu-P-O
Li-Nb-Cr-Te-O
Li-Nb-Cr-Ni-O
Li-Fe-Co-Te-O
Li-Mn-V-Te-O
Li-Fe-B-As-O
Li-U-As-H-O
Na-Li-Si-H-O
Cs-Li-Mn-P-O
Li-Al-H-C-N
Li-H-Pt-C-O
Li-C-S-N-O
Li-Fe-C-Cl-O
Cs-Li-U-P-S
Li-Fe-W-Cl-O
K-Li-Sm-Mo-O
K-Li-Ho-Mo-O
K-Li-Tb-Mo-O
Ba-Li-Gd-Mo-O
Rb-Li-Mg-B-H
Li-Ga-B-H-O
Li-Ce-Pr-Mo-O
Li-Eu-Si-Cl-O
Ba-Li-Ir-Ru-O
Ba-Li-Y-Mo-O
Sr-Li-Zr-Cr-O
Li-Ca-Mo-N-O
Li-Ca-W-N-O
K-Li-Fe-S-Cl
K-Li-Zn-P-O
Li-Al-Ge-Br-O
Na-Li-U-W-O
Sr-Li-Si-O-F
Li-Al-S-Cl-O
Li-Ga-Si-Br-O
Li-Ga-Si-I-O
Rb-Li-Zr-H-F
Li-Ho-Ge-O-F
Cs-Li-Ga-Mo-O
Cs-Li-Ir-C-N
Rb-Li-Nd-Mo-O
Na-Li-La-Ti-O
Cs-Li-Mn-C-N
Sr-Li-La-Bi-O
K-Li-Mg-Si-O
Li-Ca-La-Nb-O
Li-Ag-P-H-O
Li-Cd-H-Se-O
Li-Ca-Co-P-O
Na-Li-Yb-C-O
Li-Cu-H-Cl-O
Li-Nd-H-N-O
Li-H-C-Br-O
Sr-Li-Cu-C-O
Li-Ti-Co-Te-O
Li-Ti-Cr-W-O
Sr-Li-La-Mn-O
Li-Cu-Ni-Sb-O
Li-V-C-S-O
Li-Ti-Mn-W-O
Li-La-Ti-Cr-O
Li-Nb-Cr-W-O
Li-Ni-Sb-P-O
Li-Mn-Nb-Cr-O
Li-V-Te-W-O
Li-V-Cu-Cl-O
Li-Mn-Cr-Ni-O
Ba-Li-Y-Cu-O
Li-Mn-Cu-P-O
Li-Ti-Nb-P-O
Li-Cr-P-W-O
Li-Mn-Nb-Sn-O
Li-V-P-W-O
Li-Nb-Ni-P-O
K-Li-Sb-P-O
Sr-Li-V-P-O
Na-Li-V-P-O
K-Li-H-W-O
Li-V-Fe-Te-O
Li-Ti-Nb-Fe-O
Li-Mn-Nb-Co-O
Li-Nb-Ni-Sb-O
K-Li-Ti-P-O
Li-Cr-C-O-F
Li-Al-P-C-O
Li-Dy-P-C-O
Li-Sc-P-C-O
Li-Ca-P-C-O
Li-Ce-P-C-O
Li-Y-P-C-O
Li-Bi-C-S-O
Li-Sb-N-O-F
Li-Cu-As-Cl-O
Li-Zn-Cr-S-O
Li-Mn-P-W-O
Li-Ti-Ni-W-O
Li-Ti-Cr-Co-O
Li-Cu-As-C-O
Li-Co-H-S-O
Rb-Li-Co-B-O
Rb-Li-Ni-B-O
Li-Si-Sn-B-O
Li-Mn-C-S-O
Li-V-Si-B-O
Rb-Li-V-B-O
Li-Ti-Co-Sb-O
Li-Cr-Fe-Te-O
Li-Co-Sn-Sb-O
Li-Mn-Sn-Sb-O
Li-Cr-Sn-Te-O
Li-Mn-Cr-Sn-O
Li-Mn-Fe-Sb-O
Li-Nb-V-Co-O
Li-Nb-V-Sb-O
Li-V-Ni-W-O
Li-Ni-Sn-Sb-O
Li-Sb-H-S-O
Li-Cr-B-H-O
Li-Mn-B-H-O
Li-V-Fe-Co-O
Sr-Li-La-Co-O
Li-V-Fe-Sn-O
Li-Nb-In-P-O
Li-B-H-Se-O
Li-Cr-Co-W-O
Sr-Li-Sc-B-O
Sr-Li-Ta-N-F
K-Li-B-P-O
Li-Ca-Mg-Si-N
Na-Li-Fe-P-O
Li-V-Co-P-O
Li-V-Cu-W-O
Li-Ti-V-Ni-O
Li-Nb-Fe-Sb-O
Li-Nb-Ni-Te-O
Li-V-Cu-Ni-O
Li-Co-C-N-O
Cs-Li-Nd-B-O
Li-Mg-B-H-O
Rb-Li-Nd-B-O
Li-Cu-S-O-F
Li-Sc-H-Se-O
Li-Si-H-C-N
Cs-Li-Gd-B-O
K-Li-In-Mo-O
Ba-Li-Si-Cl-O
Li-Al-B-H-N
Li-H-C-O-F
Sr-Li-B-H-O
Li-Si-H-C-O
Li-Eu-C-I-N
Li-Y-Si-O-F
Sr-Li-Al-P-O
K-Li-V-H-O
Rb-Li-Ga-Mo-O
Rb-Li-Mo-H-O
K-Li-Dy-Mo-O
K-Li-Yb-Mo-O
K-Li-Gd-Mo-O
Li-Zn-B-P-O
Cs-Li-Fe-Mo-O
Li-Fe-S-O-F
Li-La-Si-N-O
Li-Sc-In-Si-O
Li-Zr-As-P-O
Ba-Li-Y-W-O
Ba-Li-Ti-Bi-O
Sr-Li-Nd-Co-O
K-Li-Zr-Si-O
Li-Ti-P-O-F
Li-Al-P-O-F
Li-Ca-Mn-P-O
Sr-Li-Ca-Si-O
Li-Al-Ge-I-O
Li-Mg-In-Mo-O
K-Na-Li-Te-O
Li-S-N-O-F
Li-Be-As-Cl-O
Li-U-P-H-O
Li-Be-P-Cl-O
Li-Fe-Mo-Cl-O
Li-Eu-C-Br-N
Li-Ca-Zr-Ta-O
K-Li-Si-Sn-O
Li-Sc-Ti-P-O
Li-As-H-O-F
Li-Be-H-N-F
Li-Fe-Si-P-O
Li-Mn-Ni-W-O
Li-Ti-P-H-O
Li-Mn-Te-W-O
Li-Nb-Cr-Fe-O
Li-Cu-C-O-F
Li-Fe-Sb-Te-O
Li-Mn-Cr-Cu-O
Li-Nb-V-Sn-O
Li-Cu-Ni-Te-O
Li-Co-Ni-Sb-O
Li-Nb-Fe-Cu-O
Li-Ti-Cu-Te-O
Li-Mn-Nb-Ni-O
Li-Ti-Co-Ni-O
Li-P-H-S-N
Li-Ti-Cr-Te-O
Na-Li-Sb-P-O
Li-V-Si-H-O
Li-Cu-Sb-P-O
Li-Fe-Cu-Te-O
Li-V-C-O-F
Li-Ge-P-C-O
Li-Ho-P-C-O
Li-Tm-P-C-O
Li-Ti-V-W-O
Li-B-Sb-S-O
Li-Co-Si-C-O
Rb-Li-Fe-B-O
Li-Ni-As-C-O
Li-V-Cu-Sb-O
Li-Co-Si-B-O
Li-Be-P-C-O
Li-Cr-Sn-P-O
Li-Fe-Ni-W-O
Li-Cu-Si-C-O
Li-Co-Ni-Sn-O
Li-Cr-H-C-O
Li-V-Cu-Te-O
Li-Nb-Cr-Cu-O
Li-Mn-Bi-P-O
Li-Sb-C-S-O
Li-Mn-Sn-W-O
Li-Ti-Cr-Sn-O
Li-V-Sn-Sb-O
Li-Cr-Co-Ni-O
Li-Mn-Nb-Te-O
Li-Cr-Sb-Te-O
Li-B-P-H-O
Li-As-H-Se-N
Li-Ni-S-O-F
Na-Li-Fe-P-C-O
Li-Mn-V-P-H-O
Li-Fe-Te-P-O
Li-Ti-Cr-Ni-P-O
Li-Mn-Cr-Sn-P-O
Li-Mn-Fe-Sn-P-O
Li-Mn-Fe-Ni-P-O
Li-Fe-Co-Ni-P-O
Li-Mn-Ni-Sn-P-O
Li-Mn-Fe-Co-P-O
Li-V-Fe-P-H-O
Li-Mn-Cr-P-C-O
Li-Mn-Co-P-C-O
Li-Cr-Ni-P-C-O
Rb-Li-Cd-C-O-F
Li-H-Au-C-S-O
Cs-Li-B-P-Pb-O
Li-Zn-Si-H-C-N
Sr-Li-Ta-Al-N-O
Na-Li-Co-P-O-F
Na-Li-Ni-P-H-O
Li-Be-As-Br-O
K-Li-Er-Mo-O
Rb-Li-Mn-B-H
Li-Mo-P-W-O
Li-Nd-Si-N-O-F
K-Li-Cu-Br-O
K-Li-Cu-I-O
Cs-Li-Ta-P-O
Rb-Li-Pu-Cl-O
Li-H-Rh-S-O
Li-Ce-Sm-Mo-O
K-Na-Li-Fe-Si-O
Li-Cd-Ge-H-O
Li-H-Se-N-O
Li-Cu-P-O-F
Sr-Li-Pr-Te-O
Li-Ca-Ta-O-F
Li-Mg-Al-Se-O
Li-Ti-Mn-Cr-P-O
Li-Ga-Si-Cl-O
Li-Be-P-Br-O
Na-Li-Al-P-H-O
Li-Al-Mo-As-O
Na-Li-Zn-P-O
Li-Ca-Mg-P-O
Cs-Li-Co-C-N
K-Li-P-H-O-F
Na-Li-H-C-O
Rb-Li-H-S-N-O
Na-Li-Ti-Cr-P-O
Li-La-H-N-O
Li-H-C-Cl-O
K-Li-Mn-Mo-O
Li-Ti-Co-As-O
Li-Mo-H-N-O
Na-Li-Ti-Fe-P-O
Li-V-H-N-O
Li-V-Cr-P-H-O
Li-V-Cr-P-O-F
Li-Ti-V-Te-O
Li-Mg-Mn-Fe-P-O
Na-Li-Mn-P-C-O
Li-V-Cr-P-C-O
Li-Mn-Fe-P-C-O
Li-Co-Ni-Te-O
Li-Mn-Cu-Te-O
Li-Cr-Ni-W-O
Li-Mn-Cr-Co-P-O
Na-Li-Mn-B-P-O
Na-Li-Mn-C-S-O
Na-Li-Co-P-C-O
K-Li-V-P-O
Li-Sn-Sb-P-O
Li-Ti-V-Sb-O
Li-V-Fe-P-O-F
Li-Nb-Cr-Co-O
K-Li-Ti-As-O
Li-Fe-C-O-F
Li-V-Co-P-C-O
Li-Co-Ni-P-C-O
Li-As-P-C-O
Li-Er-P-C-O
Li-Cr-B-P-O
Li-Sn-B-S-O
Na-Li-Ti-Al-P-O
Li-Mn-V-Ni-P-O
Li-Fe-B-S-O
Li-Mn-Nb-V-P-O
Rb-Li-Mn-B-O
Li-Mn-Nb-Cu-O
Na-Li-Ni-P-C-O
Li-V-Co-Te-O
Li-Ni-H-C-O
Li-Yb-P-C-O
Li-Zn-As-H-O
Li-Nb-V-Cu-O
Li-Nb-Co-Te-O
Li-Ni-Te-P-O
Li-Cr-Cu-W-O
Li-Nb-Co-Sb-O
Li-Cr-Co-Te-O
Li-Nb-Cu-Sn-O
Li-Mn-V-P-O-F
Na-Li-Cu-P-C-O
Li-Mn-Nb-Cr-P-O
Li-Co-Ni-Sn-P-O
Li-Cu-Sn-P-O
Li-Mn-B-S-O
Li-Mn-Cu-W-O
Li-Co-S-O-F
Cs-Sr-Li-B-P-O
Li-V-Cr-Ni-P-O
Li-Ti-Fe-Ni-P-O
Li-Ti-Fe-Sn-P-O
Li-Nb-V-Cr-P-O
Li-V-Co-Cu-P-O
Li-Mn-Co-Cu-P-O
Li-Mn-V-Cr-P-O
Li-Mn-Nb-Fe-P-O
Li-Fe-Ni-Te-P-O
Li-Cr-Fe-Cu-P-O
Li-Cr-Fe-Sn-P-O
Li-Mn-Ni-P-C-O
Li-V-Ni-P-C-O
Li-Fe-Co-P-C-O
Li-Cr-Co-P-C-O
K-Ba-Li-Al-B-O-F
Li-Al-C-Cl-O-F
Li-B-H-C-O-F
Li-Al-H-C-O-F
Li-C-S-N-O-F
Na-Li-Mg-P-O-F
K-Li-Ca-Ti-Si-O
Na-Li-Fe-P-O-F
Na-Li-Ni-P-O-F
Li-Au-C-S-O-F
Na-Li-Y-Zr-P-C-O
Li-Ca-Mn-Si-H-O
Na-Li-Y-P-C-O-F
K-Li-Al-Si-O-F
Li-Ni-B-P-H-O
Na-Li-Mn-Fe-P-O-F
Li-Mg-Zr-H-O-F
K-Na-Li-Ti-Mn-Fe-Si-O
Li-Ce-Si-N-O-F
Ba-Li-Mg-Al-Si-O-F
Ba-Sr-Li-Nd-Tl-Cu-O
Li-Co-B-P-H-O
K-Na-Li-Cr-Si-O
Cs-K-Na-Li-Si-O
Na-Li-Al-Si-Cl-O
K-Na-Li-Ti-Fe-Si-O
Rb-Li-C-S-O-F
Li-B-H-C-N-O
Na-Li-Si-B-H-O
Ba-Li-Si-C-Cl-O
Li-Ca-Be-Si-O-F
Li-Be-H-C-N-O-F
Li-Co-H-C-N-O
Li-H-C-S-N-O
Rb-Li-Nd-Se-Cl-O
K-Li-Ca-Ti-Si-O-F
Rb-Li-Pr-Se-Cl-O
Li-Al-P-H-O-F
Cs-Li-H-S-N-O
K-Li-H-S-N-O
Ba-Li-Mo-P-Cl-O
Li-P-H-N-O-F
Li-Cu-P-H-C-N-O
Cs-Li-Mn-P-H-O
Li-Fe-Ni-P-C-O
Li-Mn-V-P-C-O
Li-Cr-Fe-P-C-O
Li-V-Fe-P-C-O
Na-Li-Ni-C-S-O
Ba-Li-Ca-V-P-O
Na-Li-Ca-V-P-O
Na-Sr-Li-V-P-O
K-Li-Mn-P-C-O
K-Li-Mn-P-H-O
Rb-Li-Mn-P-H-O
Na-Li-Co-C-S-O
Li-Ca-Mn-C-O-F
Li-Cu-H-C-N-O
Li-Mg-Cr-Se-S-O
Li-Mn-Fe-P-W-O
Li-V-Cr-Co-P-O
Li-Mn-Cr-Ni-P-O
Li-Mn-Cu-Ni-P-O
Na-Li-Mn-Fe-P-O
Li-Mn-Nb-Ni-P-O
Li-Ti-Cu-Ni-P-O
Li-Mn-Fe-Sb-P-O
Li-Cr-Fe-Ni-P-O
Li-Ti-Mn-Ni-P-O
Li-Cr-Co-Ni-P-O
Li-Nb-Fe-Cu-P-O
Li-Ti-Ni-Sn-P-O
Li-Ti-Co-Ni-P-O
Li-Cr-Ni-Sn-P-O
Li-Ti-Fe-Cu-P-O
Li-Mn-Cr-Fe-P-O
Li-Fe-Ni-Sn-P-O
K-Li-Nb-P-W-O
K-Na-Li-Zr-Si-O
