Li-V-P-O
Rb-Li-Ta-S
Li-B-C-O
Li-Nd-Ge-O
Li-Y-P-O
K-Li-Pb-O
Li-Zr-Be-F
Na-Li-Ge-O
Li-Eu-P-S
Li-Sb-Te-O
Li-Ti-Si-O
Li-Ti-Bi-O
Li-Sn-B-O
Li-Co-Cu-O
Li-Y-Mn-O
Li-Cu-W-O
Li-Zn-Fe-O
Li-Co-C-O
Li-Ni-C-O
Li-Nb-Zn-O
K-Li-Co-O
Li-Cr-C-O
K-Li-V-S
Na-Li-V-O
Li-Mg-Ni-O
Li-V-S-O
Li-Co-B-O
Li-W-O-F
Li-Cr-B-O
Li-Ti-Fe-O
Li-V-Sn-O
Li-Ni-Sb-O
Li-Sm-Sb-O
Ba-Li-Ni-O
Li-Cr-Si-O
Li-Fe-Sb-O
Li-Sb-S-O
Rb-Li-Ge-O
Sr-Li-Fe-N
Li-Co-Ge-O
Li-Ca-Al-N
Li-Mg-Si-O
Li-Eu-B-N
Li-P-Cl-O
K-Li-Er-Cl
K-Li-In-F
K-Li-V-F
Cs-Li-Sc-Cl
Na-Li-Lu-Cl
Na-Li-Dy-Cl
Li-Cu-O-F
Li-Cr-Sb-O
Li-Ni-Te-O
Li-Fe-Ge-O
Li-Pr-Ir-O
Li-Ho-W-O
Li-Al-C-N
Li-Cr-Cd-F
Li-Gd-S-O
Li-Bi-W-O
Li-Ni-Mo-O
Li-Sm-B-O
Li-Eu-W-O
Na-Li-Nb-O
Li-Mg-Co-F
Li-Yb-Mo-O
Li-Zn-Rh-F
Li-Fe-P-S
Li-Nd-P-O
Ba-Li-Cu-O
Li-In-Mo-O
Li-H-Cl-O
Li-Ce-H-O
Li-U-V-O
Li-Ca-Co-F
Ba-Li-Zr-F
Rb-Li-Mo-O
K-Li-I-O
Li-Ti-Pb-O
Na-Li-Th-F
Na-Li-C-O
Li-Ca-Ga-N
Sr-Li-Cr-N
Ba-Na-Li-N
Li-La-Ti-O
Cs-Li-S-O
Li-Ge-P-S
Li-V-W-O
Li-Ni-Sn-O
Li-Nb-Cr-O
Li-Fe-Cl-O
Li-Nb-Ni-O
Li-La-Fe-O
Li-Fe-C-O
Li-Nb-Te-O
Li-Y-W-O
Li-Bi-Br-O
Li-Mn-Al-O
Li-Ta-W-O
Li-Fe-Sn-O
Li-La-Cu-O
Sr-Li-Ni-O
Rb-Li-Tl-Cl
Li-Cr-Ge-O
Li-Y-Mg-O
Rb-Li-Mg-O
Ba-Li-Re-N
Li-Ti-Se-O
Na-Li-Al-F
K-Li-Tm-Cl
K-Li-Tl-F
K-Li-Gd-Cl
Cs-Li-Tl-Br
Cs-Li-In-F
Li-Sm-Ir-O
Li-Nd-Ir-O
Li-Mg-H-N
Li-Mn-V-F
Li-Th-As-O
Ba-Li-Ga-Se
Li-Zr-As-O
Li-Tb-W-O
Li-Dy-N-O
Li-Tb-N-O
Li-Y-N-O
Ba-Li-B-N
Na-Li-Mn-S
Na-Li-W-O
Li-Ca-Nb-O
Li-V-Fe-S
Li-In-Te-Mo
Li-Nd-B-O
Ba-Li-Ta-O
K-Li-Ga-O
Li-V-Ge-O
Li-La-Co-O
Li-Sc-As-O
Ba-Li-Ir-O
Sr-Li-Al-F
Li-H-C-O
K-Li-Nb-O
Ba-Li-B-S
Li-Cd-Co-F
Li-Y-Si-O
Li-U-As-O
Li-Cd-P-O
Cs-Li-Y-Cl
Cs-Li-In-Cl
Ba-Li-Ta-N
Cs-Li-B-O
Ba-Li-Mo-N
Li-Gd-P-O
K-Li-S-O
Cs-Li-H-N
Ba-Li-W-N
Li-Te-H-O
Li-Al-V-O
Li-Y-Zr-O
Li-Mg-Sn-Pd
Li-Ti-Te-O
Li-Ni-W-O
Li-Nb-Cu-O
K-Li-Mn-O
Na-Li-Ti-O
Ba-Li-Ti-O
Li-Al-Cr-O
Li-B-Sb-O
Li-Ti-B-O
Li-Mn-W-O
Li-W-N-O
Li-U-W-O
Li-V-Sb-O
Li-Ga-Pd-F
Li-Sm-Cu-P
Rb-Li-In-Cl
Li-Ge-P-O
Li-Mg-Bi-O
Li-Mg-Cr-O
Rb-Li-Mn-O
K-Li-As-F
Cs-Li-La-Cl
Cs-Li-Dy-Cl
Na-Li-Sm-Cl
Rb-Li-Au-Cl
Li-Cr-P-S
Li-V-As-O
Li-Mg-Co-O
Li-Al-P-S
Li-As-H-O
Li-Y-B-O
K-Li-W-O
Li-Pr-Te-O
Li-Yb-N-O
Li-Cr-In-S
Li-Mo-Se-S
Li-Rh-N-O
Li-Eu-Si-O
Li-La-Ta-O
Li-Ca-Ta-O
Li-Ga-Si-O
Cs-Li-Be-F
Li-Co-W-O
Sr-Li-Ta-N
Ba-Li-Al-F
Rb-Li-Si-O
Li-Ca-Si-O
K-Li-Ge-O
Ba-Li-W-O
Ba-Li-Si-O
Li-Nb-Bi-O
Li-P-Pb-O
Li-U-Mo-O
Li-Ca-B-O
Li-Ca-Mn-N
Ba-Li-P-O
Li-Ge-P-Se
Cs-Li-Ni-O
Li-Mg-Mn-O
Li-V-Cu-O
Li-Al-Ni-O
Li-Sn-S-O
Li-Ti-Zn-O
Ba-Li-Bi-O
Li-Cr-H-O
Li-Sm-Al-F
Li-In-I-O
Li-B-S-O
Li-Yb-Cu-P
Li-Mg-Fe-O
Li-Hf-Mg-O
Li-Mg-Sb-O
K-Li-Mg-O
Li-Cu-Sb-F
K-Li-Lu-Cl
K-Li-La-Cl
K-Li-Ru-F
Li-Mn-Se-O
Li-Mg-Sn-Pt
Li-Cd-Sn-S
Li-La-Re-O
Li-Sc-P-O
Li-Ca-Si-N
Sr-Li-Si-O
Li-Mg-Ge-O
Li-Tb-Ru-O
Li-Ca-Te-O
Sr-Li-Nb-O
Li-Zn-B-O
Li-C-N-O
Li-B-P-C
Li-Pd-N-O
Li-B-C-N
Na-Li-Ti-F
Na-Li-Cr-F
Rb-Li-V-O
Li-Y-Mo-O
Li-Sc-Ge-O
K-Li-In-As
Rb-Li-H-N
Cs-Li-V-S
Li-Er-P-O
Li-Tl-Mo-O
Li-Ni-P-S
K-Li-Si-O
K-Li-B-O
Li-Mo-I-O
K-Li-U-O
Li-Sb-S-I
K-Li-Te-O
Na-Li-Yb-F
Sr-Li-Mn-N
Li-Gd-B-O
Na-Li-H-N
Li-Ca-Ru-O
Sr-Li-Ru-O
Li-V-Ga-O
Li-Co-Bi-O
Li-Y-Zr-S
Li-Nb-O-F
K-Li-Ni-O
Li-S-O-F
Ba-Li-Sb-O
Li-Ge-B-O
Li-Ge-Mo-O
Li-Ce-Cu-P
K-Li-Au-F
Cs-Li-Sm-Cl
Li-Te-Mo-O
Li-C-O-F
Sr-Li-Ti-F
Li-V-Cd-F
Li-Eu-B-O
Ba-Li-Ru-O
Sr-Li-Mg-Si
Li-Nb-W-O
Li-La-Nb-O
Li-Ga-Ge-Se
Li-Fe-Ir-O
Li-C-N-Cl
Li-Co-Ru-O
Li-Pr-B-O
K-Li-Zr-O
Li-Ga-W-O
Rb-Li-Cr-O
Li-B-Cl-O
Li-H-N-O
Na-Li-Ga-O
Li-Fe-As-O
Sr-Li-B-S
Rb-Li-V-S
Li-Mg-V-O
Li-La-P-O
K-Li-Ir-O
Li-W-C-Cl
Sr-Li-Ir-O
Li-Mg-H-Ru
K-Li-Mn-S
Li-Cu-Te-O
Li-Fe-Cu-S
Li-Mn-Te-O
Li-Cr-S-O
K-Li-I-Cl
Li-Fe-Sn-S
Li-Cu-Sb-Cl
Li-In-Cu-Cl
K-Li-Cr-F
Li-Cr-Mo-O
Ba-Li-Cd-P
Sr-Li-Cr-F
Rb-Li-Ga-O
Li-Y-Ge-O
Li-Tb-B-O
Li-Sc-W-O
Li-Sm-N-O
Li-Eu-Ru-O
Li-Gd-C-O
Li-Er-H-Cl
Cs-Li-Cr-F
Li-In-P-O
Li-Mg-S-O
Rb-Li-Pr-O
Rb-Li-Pb-O
Na-Li-Ru-O
Li-Si-B-O
Rb-Li-Be-F
Li-Co-Se-O
Sr-Li-Ni-N
Li-Nb-In-Cl
Li-Mg-Al-H
Cs-Li-Nb-S
Li-Eu-Ge-S
Li-Sn-P-Se
Li-Si-W-O
Li-Cd-Ge-O
Li-Ti-Sn-O
Li-Co-N-O
Ba-Li-Nb-O
Li-Co-H-O
Li-Al-Pd-F
Sr-Li-Si-N
Li-Ag-C-O
Li-Nd-Ti-O
Li-In-Cu-Se
K-Li-Ce-I
Li-Al-Cu-F
K-Li-Ta-Br
Cs-Li-Gd-Cl
Cs-Li-Tl-Cl
Na-Li-Au-Cl
Li-Al-Br-O
Li-Cd-Ge-S
Li-Eu-Ir-O
Li-Al-B-O
Sr-Li-As-H
Li-Mn-Sn-S
Li-B-Se-O
Li-P-H-N
Li-Nd-Zr-O
Li-Ga-Se-O
Li-U-Se-O
Na-Li-Be-F
Na-Li-Er-F
Li-Sm-W-O
Li-Ce-B-O
Li-Nd-N-O
Rb-Li-Zn-S
Li-Zn-Cd-P
Li-Ag-N-O
K-Li-Zn-O
Li-La-Os-O
Na-Li-Sc-F
K-Li-H-O
Li-Mn-Ga-F
Ba-Li-Os-O
Li-Be-Si-O
K-Li-Al-O
Li-Bi-Pd-O
Ba-Li-Cr-F
K-Li-C-O
Li-Ca-Al-F
Li-La-Ru-O
Li-Mn-Ga-O
Li-Fe-H-O
Li-Bi-I-O
Li-La-Sb-O
Li-Zn-Ge-O
Li-Ga-Ge-O
K-Li-Ga-As
Na-Li-Al-P
Li-Mg-C-O
Li-Ca-H-C
K-Li-Ta-I
K-Li-Ce-Cl
Li-Dy-W-O
Li-La-Ir-O
Sr-Li-Ga-F
Li-Ga-P-O
Li-Ho-B-O
Li-Tm-B-O
Li-Mn-Rh-O
Li-Ho-Mo-O
Ba-Li-Te-O
Li-Yb-B-O
Li-Si-Pb-O
Li-Zn-Sn-O
Li-Ca-Cr-F
Li-Er-N-O
Cs-Li-B-S
Li-Pr-S-O
Li-Yb-P-O
Cs-Li-Lu-Cl
Ba-Li-Re-O
Li-Ca-U-F
Li-In-Si-O
Sr-Li-La-O
Li-Y-V-O
Li-Eu-P-Se
Cs-Li-N-F
Na-Li-I-Cl
Li-Y-Cu-P
Li-Au-S-O
Li-Mn-As-O
K-Li-Ga-F
K-Li-Tl-Cl
Li-Ni-H-O
Cs-Li-W-O
Na-Li-Mo-O
K-Li-H-N
K-Li-Mo-O
Li-Ti-N-F
Li-Ca-Ge-H
K-Li-Pd-F
Ba-Li-I-O
Li-Mg-H-Os
Li-As-S-I
Li-Eu-Mo-O
Li-Zr-Tl-F
Ba-Li-Ga-Sb
Li-Tm-Si-O
Li-In-Ge-O
Li-Pr-W-O
Li-Ni-As-O
Na-Li-B-O
Li-Cd-Si-O
Na-Li-P-O
Li-U-P-O
Li-Al-P-O
Li-Ta-Si-O
Cs-Li-Cr-O
Li-Zr-Te-O
Li-Si-P-O
Li-Nb-Sn-O
Li-H-Se-O
Li-Cu-Cl-O
Cs-Li-Ge-O
Sr-Li-B-N
Li-Tl-In-F
Li-P-N-O
Li-Be-B-O
Na-Li-Nb-F
K-Li-Tl-Br
Cs-Li-Sb-I
Na-Li-Er-Cl
Li-Ca-Os-O
Sr-Li-H-N
Li-S-N-O
Li-B-O-F
Li-Zr-H-Cl
Li-Be-As-O
Li-La-Si-N
Ba-Na-Li-H
Li-Ho-Te-O
Li-Lu-Te-O
Li-Tm-N-O
Ba-Li-U-O
Na-Li-As-S
Li-La-Al-O
Li-Ge-Te-O
Li-Lu-U-S
Li-Ti-Mn-F
Li-Cr-N-O
Sr-Li-Fe-F
Li-Ta-O-F
Ba-Li-Mg-Ge
Na-Li-V-F
Li-P-Pd-O
Li-Eu-S-O
Li-Y-Ni-O
Li-Mn-H-O
Li-La-Ni-O
Cs-Li-In-Br
Li-Ce-Mg-O
K-Li-Nb-F
K-Li-Sc-Cl
Na-Li-Tm-Cl
Na-Li-Pr-Cl
Li-Zn-B-H
Rb-Li-Yb-Cl
Li-Zn-Ge-S
Li-Ho-S-O
Li-Gd-Mo-O
Li-Ca-Fe-N
Li-Cr-Ga-S
Li-Yb-Te-O
Li-Dy-B-O
Li-Tm-Te-O
Li-Sm-Te-O
Li-Gd-N-O
Li-Ge-Rh-O
Li-Si-Ge-O
Li-Mg-Zr-O
Cs-Li-Al-F
Li-Zn-Si-O
Li-La-Mo-O
Sr-Li-Co-F
Li-Zn-Sb-O
Na-Li-Y-F
Li-Hg-P-O
Ba-Li-Mg-Si
Na-Li-Al-H
Cs-Li-Ga-F
Li-Sn-P-S
Cs-Li-H-O
Li-Ta-Cu-O
Li-Cr-Cl-O
Li-Bi-H-O
Na-Li-As-O
Li-Yb-In-Ge
Na-Li-N-F
Li-Tl-Ga-F
Cs-Li-I-Cl
Li-Si-Sn-S
Na-Li-Ga-F
K-Li-Rh-F
Cs-Li-Au-F
Cs-Li-Tb-Cl
Cs-Li-Tm-Cl
Cs-Li-Ce-Cl
Na-Li-Eu-Cl
Li-Ca-As-H
Li-Nd-P-N
K-Li-Pr-F
Li-Be-P-O
Li-Sm-Eu-O
Rb-Li-Ho-Cl
K-Li-Cu-F
Li-Mg-Sn-O
Li-Dy-S-O
Li-La-B-O
Li-La-C-O
Li-Gd-Te-O
Li-Zn-Cr-O
Li-Co-As-O
Li-Ca-Cu-N
K-Li-Bi-O
K-Li-Al-H
Cs-Li-V-O
Rb-Li-Nb-S
Li-Mn-Fe-F
Cs-Li-P-O
Li-Ca-Mg-Sb
Li-H-Br-N
Rb-Li-Ni-O
Li-Y-Fe-O
Li-Zr-Cu-O
Li-Bi-S-O
Na-Li-Ga-As
K-Li-Sm-Cl
Cs-Li-Pr-I
Li-Yb-W-O
Li-In-Ge-Se
Li-In-Si-S
Li-Er-W-O
Li-Ce-P-O
Li-Ce-Si-N
Rb-Li-Ru-Cl
Li-Ca-V-F
Li-Er-S-O
Li-Nd-C-O
Li-Lu-N-O
Sr-Li-Al-Sb
Li-Mg-Bi-Pb
Cs-Li-V-F
Li-Pr-Os-O
Li-Lu-S-O
Li-Al-Mo-O
Li-Zn-Sn-S
Li-Ho-P-O
Li-Mo-As-O
Li-Sc-B-O
Li-Ga-Mo-O
Li-Ca-Ni-F
Sr-Li-Ni-F
Sr-Li-Co-N
Li-Ca-In-Ge
Na-Li-Fe-F
Li-Nb-Ge-O
Li-Bi-Cl-O
Li-Mg-Sn-Au
K-Li-Ti-O
Li-Cr-As-O
Cs-Li-Tb-O
Li-P-S-I
Li-Ni-Ge-O
Rb-Li-Nb-F
Na-Li-Ru-F
K-Li-Eu-Cl
Cs-Li-Pd-F
Cs-Li-Ce-I
Cs-Li-Au-Cl
Na-Li-Ce-Cl
Li-Eu-As-S
Li-Mn-Sn-Se
Li-La-Sn-O
Na-Li-Ho-F
Li-Dy-Te-O
Li-Sm-S-O
Li-Nd-S-O
Li-Eu-Te-O
Li-Y-Te-O
Li-Ti-Fe-F
Sr-Li-In-Ge
Li-Mg-Cd-P
Li-Ca-V-O
Li-Tl-Si-O
Li-Sm-Os-O
Rb-Li-Ga-F
Rb-Li-Fe-F
Li-La-H-O
Na-Li-Co-O
Li-Re-O-F
Li-Eu-P-O
Cs-Li-Si-O
Li-Mg-Sb-Pt
Li-Nd-Te-O
Li-Cu-As-O
Li-Cr-Bi-O
Li-Sn-Te-O
Li-Tl-In-Cl
Cs-Na-Li-F
Sr-Li-Re-O
Li-In-Cu-F
K-Li-Ir-F
K-Li-Sn-O
Li-In-Ge-S
Li-As-Xe-F
Li-La-Hf-O
Rb-Li-W-O
Li-Lu-B-O
Li-Er-Te-O
Li-Tb-S-O
Li-Pr-Ru-O
Li-Ti-Co-F
Na-Li-Zn-S
Li-Ti-Rh-O
Li-Sc-B-H
Li-Nd-Os-O
Cs-Li-La-Br
Ba-Li-Co-F
Li-Nd-H-O
Li-Ga-As-O
Cs-Li-Mo-O
Cs-Li-Ga-O
Li-U-B-O
Li-In-B-O
K-Li-V-O
Li-Ti-As-O
Li-Cd-B-O
K-Li-Al-P
Li-Ca-B-N
Li-Sn-H-O
Li-Si-P-Se
Li-Sc-V-O
Li-Ti-O-F
K-Li-Zn-S
Li-Te-P-O
Cs-Li-Ti-O
Li-Mg-Sb-Pd
Sr-Li-Al-N
Li-Ti-N-Cl
Cs-Li-Ta-I
Na-Li-La-Cl
Li-Mn-Ge-S
Li-Te-W-O
K-Li-Eu-F
Rb-Li-Mn-F
Li-Nd-Ru-O
Li-Ce-W-O
Li-Ti-Al-O
Li-Zr-N-Cl
Li-Co-Ni-F
Rb-Li-As-O
Li-Ca-Hf-F
Li-Zn-As-O
Na-Li-Ti-S
Li-Ga-Ge-S
Li-Ca-Ce-O
Ba-Li-Nb-N
Sr-Li-Ga-N
Li-Y-Cr-O
Li-Nb-B-O
Na-Li-Ni-O
Li-Tb-Cu-P
Sr-Li-Re-N
Li-Fe-Ge-S
K-Li-Co-F
Na-Li-Gd-Cl
Li-In-Si-Se
Ba-Li-Cd-As
Li-As-H-N
Rb-Li-Rh-Cl
Na-Li-Lu-F
Li-Gd-Ru-O
Li-Sm-Mo-O
Li-Tb-Te-O
Sr-Li-Bi-O
Sr-Li-Cu-N
Li-In-Cu-Te
Li-Zr-Mn-Cl
Li-Ti-Ga-O
Cs-Li-As-O
Sr-Li-Ti-O
Rb-Li-Zn-O
Rb-Li-I-O
Li-Eu-Ti-O
Na-Li-In-F
Li-Ti-Cu-S
Li-Mg-H-Ir
Li-Mg-As-O
Li-Ge-S-O
K-Li-In-Cl
Cs-Li-Nb-F
Na-Li-Tb-Cl
Li-Sm-P-O
Na-Li-Tm-F
Li-Sm-Ru-O
Li-La-N-O
Li-Sm-C-O
Li-Ni-Rh-F
Li-Tb-P-O
Cs-Li-Mn-O
Sr-Li-Nb-N
Li-V-I-O
Li-Ga-B-O
Rb-Li-Tb-O
K-Li-Be-F
Li-Dy-P-O
Li-Al-H-N
Li-Ca-Ge-O
Li-Ca-Ni-O
Li-P-S-Br
Cs-Li-Tl-F
Li-Sn-O-F
Na-Li-Tl-F
Na-Li-Au-F
Na-Li-As-F
K-Li-Tb-Cl
K-Li-Y-I
K-Li-Sb-Br
K-Li-Sb-I
K-Li-Pr-Cl
K-Li-Pr-Br
K-Li-Pr-I
K-Li-Nd-I
K-Li-Nd-Cl
K-Li-Mo-I
K-Li-Nd-Br
K-Li-Bi-I
K-Li-Bi-Cl
K-Li-Bi-Br
Na-Li-Ta-F
Na-Li-Ir-F
Li-Al-Hg-F
Li-Cu-As-F
Li-Ag-As-F
Li-Al-Ag-F
K-Li-Y-Cl
K-Li-Y-Br
K-Li-Sb-F
K-Li-Sb-Cl
K-Li-Mo-Cl
K-Li-Mo-Br
K-Li-Bi-F
Li-Sc-Cu-F
Li-Ga-Cu-F
Li-Cu-Au-F
Cs-Li-Y-F
Cs-Li-Nd-F
Cs-Li-Er-Cl
Cs-Li-Y-Br
Cs-Li-Ta-Br
Cs-Li-Pr-Cl
Cs-Li-Pr-Br
Cs-Li-Sb-Cl
Cs-Li-Nd-Cl
Cs-Li-Nd-Br
Cs-Li-Bi-Br
Cs-Li-Ce-Br
Cs-Li-Ta-Cl
Cs-Li-Sb-F
Cs-Li-Sb-Br
Cs-Li-Pr-F
Cs-Li-Nd-I
Cs-Li-Mo-I
Cs-Li-Mo-Cl
Cs-Li-Mo-Br
Cs-Li-Ce-F
Cs-Li-Bi-I
Cs-Li-Bi-F
Cs-Li-Bi-Cl
Na-Li-Sb-Cl
Na-Li-Tl-Br
Cs-Li-Eu-Cl
Na-Li-Y-Cl
Na-Li-Bi-Cl
Na-Li-Bi-I
Na-Li-Tl-Cl
Na-Li-Sb-F
Na-Li-Sc-Cl
Na-Li-In-Cl
Na-Li-Bi-Br
Na-Li-Bi-F
Na-Li-Y-Br
K-Li-Ta-F
K-Li-Ta-Cl
Na-Li-Pd-F
Rb-Li-Ce-F
Rb-Li-Tl-F
Rb-Li-Au-F
Rb-Li-Bi-F
Rb-Li-Ce-Cl
Rb-Li-Gd-Cl
Rb-Li-In-F
Rb-Li-Ir-F
Rb-Li-Lu-Cl
Rb-Li-Mo-Br
Rb-Li-Mo-Cl
Rb-Li-Nd-F
Rb-Li-Nd-I
Rb-Li-Pr-F
Rb-Li-Sb-Cl
Rb-Li-Sc-Cl
Rb-Li-Ta-Br
Rb-Li-Tb-Cl
Rb-Li-Y-F
Rb-Li-Eu-Cl
Rb-Li-Bi-Br
Rb-Li-Bi-Cl
Rb-Li-Bi-I
Rb-Li-Ce-I
Rb-Li-Dy-Cl
Rb-Li-Er-Cl
Rb-Li-La-Cl
Rb-Li-Mo-I
Rb-Li-Nd-Br
Rb-Li-Nd-Cl
Rb-Li-Pr-Br
Rb-Li-Pr-Cl
Rb-Li-Pr-I
Rb-Li-Sb-Br
Rb-Li-Sb-F
Rb-Li-Sb-I
Rb-Li-Sm-Cl
Rb-Li-Ta-Cl
Rb-Li-Ta-I
Rb-Li-Tl-Br
Rb-Li-Y-Br
Rb-Li-Y-Cl
Rb-Li-Y-I
Rb-Li-Ce-Br
Rb-Li-Tm-Cl
Rb-Li-Al-F
Rb-Li-As-F
Rb-Li-Rh-F
Rb-Li-Ru-F
Rb-Li-Sc-F
Rb-Li-Ta-F
Rb-Li-Ti-F
Li-Cd-Mo-O
Li-Be-N-F
Li-Sb-Mo-O
Li-Th-O-F
Li-Sm-Tm-O
Ba-Li-Zr-O
Rb-Li-Os-O
Na-Li-Co-F
