facet
"{'mp-759', 'mp-135', 'mp-26'}"
"{'mp-135', 'mp-8405', 'mp-2074'}"
"{'mp-759', 'mp-135', 'mp-8405'}"
"{'mp-135', 'mp-2602', 'mp-123'}"
"{'mp-757', 'mp-135', 'mp-8406'}"
"{'mp-135', 'mp-8406', 'mp-2602'}"
"{'mp-135', 'mp-867227', 'mp-35'}"
"{'mp-600561', 'mp-135', 'mp-574275'}"
"{'mp-135', 'mp-510430', 'mp-143'}"
"{'mp-135', 'mp-144', 'mp-1646'}"
"{'mp-135', 'mp-867883', 'mp-26'}"
"{'mp-135', 'mp-861893', 'mp-574275'}"
"{'mp-135', 'mp-867883', 'mp-861893'}"
"{'mp-135', 'mp-567395', 'mp-29210'}"
"{'mp-135', 'mp-862980', 'mp-568404'}"
"{'mp-861948', 'mp-135', 'mp-867200'}"
"{'mp-135', 'mp-862929', 'mp-862980'}"
"{'mp-861948', 'mp-135', 'mp-862929'}"
"{'mp-135', 'mp-50', 'mp-861951'}"
"{'mp-600561', 'mp-135', 'mp-861951'}"
"{'mp-135', 'mp-1777', 'mp-861955'}"
"{'mp-135', 'mp-867200', 'mp-861955'}"
"{'mp-600561', 'mp-135', 'mp-862297'}"
"{'mp-135', 'mp-862297', 'mp-364'}"
"{'mp-135', 'mp-30821', 'mp-364'}"
"{'mp-135', 'mp-30821', 'mp-568404'}"
"{'mp-757', 'mp-135', 'mp-1197547'}"
"{'mp-135', 'mp-7396', 'mp-99'}"
"{'mp-135', 'mp-1183069', 'mp-7396'}"
"{'mp-135', 'mp-1495', 'mp-279'}"
"{'mp-135', 'mp-1495', 'mp-2713'}"
"{'mp-135', 'mp-1201760', 'mp-2713'}"
"{'mp-135', 'mp-862554', 'mp-99'}"
"{'mp-135', 'mp-1201760', 'mp-862554'}"
"{'mp-135', 'mp-2322', 'mp-568404'}"
"{'mp-862555', 'mp-135', 'mp-112'}"
"{'mp-862555', 'mp-135', 'mp-2322'}"
"{'mp-135', 'mp-99', 'mp-1646'}"
"{'mp-135', 'mp-567395', 'mp-568404'}"
"{'mp-600561', 'mp-135', 'mp-571262'}"
"{'mp-1214063', 'mp-570466', 'mp-135'}"
"{'mp-135', 'mp-571262', 'mp-862764'}"
"{'mp-1214063', 'mp-862764', 'mp-135'}"
"{'mp-135', 'mp-862765', 'mp-279'}"
"{'mp-135', 'mp-155', 'mp-862765'}"
"{'mp-49', 'mp-135', 'mp-862841'}"
"{'mp-867200', 'mp-135', 'mp-862841'}"
"{'mp-135', 'mp-567395', 'mp-867200'}"
"{'mp-135', 'mp-862934', 'mp-7396'}"
"{'mp-135', 'mp-862934', 'mp-867200'}"
"{'mp-135', 'mp-862935', 'mp-573471'}"
"{'mp-867200', 'mp-135', 'mp-862935'}"
"{'mp-1186055', 'mp-23222', 'mp-135'}"
"{'mp-135', 'mp-866200', 'mp-69'}"
"{'mp-135', 'mp-7396', 'mp-866200'}"
"{'mp-135', 'mp-155', 'mp-865349'}"
"{'mp-135', 'mp-7396', 'mp-865349'}"
"{'mp-135', 'mp-867227', 'mp-892'}"
"{'mp-1196981', 'mp-135', 'mp-67'}"
"{'mp-1196981', 'mp-865444', 'mp-135'}"
"{'mp-135', 'mp-865444', 'mp-892'}"
"{'mp-1184479', 'mp-155', 'mp-135'}"
"{'mp-1184479', 'mp-865483', 'mp-135'}"
"{'mp-135', 'mp-510430', 'mp-865483'}"
"{'mp-135', 'mp-510430', 'mp-99'}"
"{'mp-975904', 'mp-135', 'mp-1197547'}"
"{'mp-135', 'mp-7396', 'mp-144'}"
"{'mp-135', 'mp-8481', 'mp-1059256'}"
"{'mp-135', 'mp-8481', 'mp-1777'}"
"{'mp-135', 'mp-865715', 'mp-1059256'}"
"{'mp-135', 'mp-865715', 'mp-7396'}"
"{'mp-135', 'mp-510430', 'mp-573471'}"
"{'mp-135', 'mp-1059256', 'mp-1646'}"
"{'mp-1780', 'mp-135', 'mp-600561'}"
"{'mp-135', 'mp-30863', 'mp-67'}"
"{'mp-1780', 'mp-135', 'mp-865793'}"
"{'mp-865793', 'mp-135', 'mp-30863'}"
"{'mp-865838', 'mp-135', 'mp-33'}"
"{'mp-865838', 'mp-135', 'mp-189'}"
"{'mp-135', 'mp-29720', 'mp-189'}"
"{'mp-131', 'mp-135', 'mp-1065995'}"
"{'mp-135', 'mp-867227', 'mp-1065995'}"
"{'mp-135', 'mp-865867', 'mp-112'}"
"{'mp-135', 'mp-7396', 'mp-865867'}"
"{'mp-135', 'mp-865868', 'mp-669917'}"
"{'mp-600561', 'mp-135', 'mp-865868'}"
