facet
"{'mp-13998', 'mp-10172', 'mp-6660', 'mp-1342', 'mp-30975', 'mp-985586'}"
"{'mp-13998', 'mp-10172', 'mp-6660', 'mp-1342', 'mp-31008', 'mp-985586'}"
"{'mp-13998', 'mp-10172', 'mp-6660', 'mp-30975', 'mp-31008', 'mp-985586'}"
"{'mp-10172', 'mp-1342', 'mp-6660', 'mp-556168', 'mp-22916', 'mp-31008'}"
"{'mp-10172', 'mp-1342', 'mp-6660', 'mp-560978', 'mp-556168', 'mp-22916'}"
"{'mp-10172', 'mp-6660', 'mp-9212', 'mp-560978', 'mp-556168', 'mp-22916'}"
"{'mp-10172', 'mp-6660', 'mp-9212', 'mp-556168', 'mp-30975', 'mp-22916'}"
"{'mp-10172', 'mp-6660', 'mp-556168', 'mp-30975', 'mp-22916', 'mp-31008'}"
"{'mp-86', 'mp-10172', 'mp-710', 'mp-218'}"
"{'mp-10172', 'mp-710', 'mp-218', 'mp-1598'}"
"{'mp-10172', 'mp-674333', 'mp-754027', 'mp-2352'}"
"{'mp-10172', 'mp-674333', 'mp-754027', 'mp-1598'}"
"{'mp-10172', 'mp-754027', 'mp-218', 'mp-1598'}"
"{'mp-10172', 'mp-637224', 'mp-24720', 'mp-571261'}"
"{'mp-10172', 'mp-1959', 'mp-23870', 'mp-2352'}"
"{'mp-10172', 'mp-637224', 'mp-1959', 'mp-23870'}"
"{'mp-10172', 'mp-637224', 'mp-24720', 'mp-23870'}"
"{'mp-86', 'mp-10172', 'mp-75', 'mp-218', 'mp-1184905'}"
"{'mp-10172', 'mp-754027', 'mp-75', 'mp-218', 'mp-1184905'}"
"{'mp-10172', 'mp-754027', 'mp-1184905', 'mp-2352', 'mp-5477'}"
"{'mp-10172', 'mp-27247', 'mp-754027', 'mp-1184905', 'mp-5477'}"
"{'mp-10172', 'mp-754027', 'mp-75', 'mp-3744', 'mp-1184905'}"
"{'mp-10172', 'mp-27247', 'mp-754027', 'mp-3744', 'mp-1184905'}"
"{'mp-10172', 'mp-1045', 'mp-75', 'mp-1184905', 'mp-123'}"
"{'mp-10172', 'mp-8128', 'mp-1184905', 'mp-2352', 'mp-5477'}"
"{'mp-10172', 'mp-27247', 'mp-8128', 'mp-1184905', 'mp-5477'}"
"{'mp-10172', 'mp-27247', 'mp-8128', 'mp-1184905', 'mp-1201519'}"
"{'mp-10172', 'mp-27247', 'mp-3744', 'mp-1184905', 'mp-1201519'}"
"{'mp-10172', 'mp-8128', 'mp-3744', 'mp-1184905', 'mp-1201519'}"
"{'mp-10172', 'mp-27247', 'mp-8128', 'mp-3744', 'mp-1201519'}"
"{'mp-10172', 'mp-8128', 'mp-1045', 'mp-3744', 'mp-1184905'}"
"{'mp-10172', 'mp-1045', 'mp-75', 'mp-3744', 'mp-1184905'}"
"{'mp-10172', 'mp-129', 'mp-682', 'mp-23870', 'mp-2352'}"
"{'mp-10172', 'mp-44', 'mp-674332', 'mp-1865'}"
"{'mp-10172', 'mp-22003', 'mp-5327', 'mp-2352'}"
"{'mp-10172', 'mp-1776', 'mp-22003', 'mp-5327'}"
"{'mp-10172', 'mp-1776', 'mp-5327', 'mp-32590'}"
"{'mp-10172', 'mp-5327', 'mp-32590', 'mp-34842'}"
"{'mp-10172', 'mp-32590', 'mp-32742', 'mp-34842'}"
"{'mp-10172', 'mp-32742', 'mp-34842', 'mp-1865'}"
"{'mp-10172', 'mp-1597', 'mp-674332', 'mp-1865'}"
"{'mp-10172', 'mp-1597', 'mp-34842', 'mp-1865'}"
"{'mp-10172', 'mp-27618', 'mp-571095', 'mp-1266'}"
"{'mp-10172', 'mp-7656', 'mp-2352', 'mp-1266'}"
"{'mp-10172', 'mp-27618', 'mp-7656', 'mp-1266'}"
"{'mp-10172', 'mp-1334', 'mp-1187739', 'mp-2652', 'mp-24650'}"
"{'mp-10172', 'mp-1334', 'mp-9459', 'mp-2652', 'mp-24650'}"
"{'mp-10172', 'mp-569304', 'mp-2652', 'mp-1200885', 'mp-24650'}"
"{'mp-10172', 'mp-1200613', 'mp-9459', 'mp-2652', 'mp-24650'}"
"{'mp-10172', 'mp-1200613', 'mp-2652', 'mp-1200885', 'mp-24650'}"
"{'mp-10172', 'mp-30980', 'mp-569304', 'mp-23870', 'mp-2652'}"
"{'mp-10172', 'mp-569304', 'mp-23870', 'mp-2652', 'mp-24650'}"
"{'mp-10172', 'mp-569304', 'mp-30980', 'mp-23870', 'mp-2352'}"
"{'mp-10172', 'mp-23870', 'mp-22916', 'mp-985586'}"
"{'mp-10172', 'mp-23870', 'mp-2352', 'mp-985586'}"
