id,material_id,pretty_formula
283,mp-530262,Li15Cr2N9
284,mp-530399,LiAl5O8
285,mp-531553,Li5GeN3
286,mp-531826,Li2PtO3
287,mp-532085,Li2IrO3
288,mp-540803,Sr3(LiSb)4
289,mp-541001,LiInI4
290,mp-5419,LiGa2Ir
291,mp-554442,LiAuF4
292,mp-557403,LiFe2F6
293,mp-558059,LiMnF4
294,mp-558731,Li2TeS3
295,mp-5614,Li3BS3
296,mp-561430,LiLuF4
297,mp-5670,LiTi2O4
298,mp-567347,Li2AgSn
299,mp-567395,Li15Au4
300,mp-567787,LiInAg2
301,mp-567967,LiGaI4
302,mp-568404,Li9Al4
303,mp-569025,Ba19Na29Li13
304,mp-569073,LiSn
305,mp-570097,Sr(Li2P)2
306,mp-570466,Li2Ca
307,mp-570935,LiI
308,mp-571109,Li2Nd2Si3
309,mp-573471,Li17Sn4
310,mp-574275,Li17Pb4
311,mp-5769,Li3SbO4
312,mp-581678,LiEu2Si3
313,mp-5832,Li2Ge7O15
314,mp-5840,LiScO2
315,mp-5854,LiGaO2
316,mp-5920,LiAlGe
317,mp-600561,LiRh
318,mp-638690,Li2Y5In9
319,mp-672287,Li13Si4
320,mp-676109,Li3InCl6
321,mp-676780,LiMn9Se10
322,mp-680395,Li3As7
323,mp-680436,Rb2LiSn4
324,mp-685991,Li5SiP3
325,mp-686129,Li5TiN3
326,mp-686208,Li5SiN3
327,mp-691115,Li4Mn5O12
328,mp-699284,Li2HN
329,mp-7020,LiYO2
330,mp-7137,LiTbO2
331,mp-728,Li2Pd
332,mp-7298,Li(CuP)2
333,mp-736,Li3P
334,mp-7396,Li3Tl
335,mp-752752,LiMnF6
336,mp-753571,LiVF6
337,mp-753861,Li2VF6
338,mp-754000,Li2VF5
339,mp-754534,Li2CeO3
340,mp-754870,Li2RhO3
341,mp-755352,Li2HfO3
342,mp-755664,Li2(TaS2)3
343,mp-755709,LiFeO2
344,mp-756316,Li3SbS4
345,mp-757,Li3As
346,mp-7575,LiZnN
347,mp-7594,CsLiF2
348,mp-759464,Li3VF6
349,mp-759647,LiWF6
350,mp-760825,LiCu3F10
351,mp-7638,LiTa3O8
352,mp-765413,Li2AgF6
353,mp-765559,LiAgF4
354,mp-7661,Li2RhF6
355,mp-766540,Li4TiS4
356,mp-771155,Li7Co5O12
357,mp-772185,Li6Hf2O7
358,mp-772215,LiNb8O10
359,mp-774941,Li(NiO2)2
360,mp-777667,LiV2O5
361,mp-7791,Li2GeF6
362,mp-7874,LiGaGe
363,mp-7941,Li6TeO6
364,mp-7943,LiAs
365,mp-795,LiSi
366,mp-8132,Li(TiSe2)3
367,mp-8204,LiAlB14
368,mp-8405,Li3LaSb2
369,mp-8406,Li3NdAs2
370,mp-8407,Li3LaP2
371,mp-841,Li2O2
372,mp-8430,KLiS
373,mp-8609,Li6UO6
374,mp-861625,LiZnAg2
375,mp-861658,LiMnPt2
376,mp-861663,LiRh2Pb
377,mp-861665,LiTmIn2
378,mp-861874,LiHoHg2
379,mp-861893,Li2LaPb
380,mp-861900,LiGaAu2
381,mp-861931,LiPt3
382,mp-861936,LiPd3
383,mp-861948,LiPm2Al
384,mp-861951,LiTaRh2
385,mp-861955,LiPm2Ge
386,mp-861963,LiLu2Os
387,mp-862296,LiAlPt2
388,mp-862297,LiAlRh2
389,mp-862321,LiAsPd2
390,mp-862492,LiErTl2
391,mp-862549,LiAcTl2
392,mp-862554,LiEr2Ir
393,mp-862555,LiY2Al
394,mp-862558,LiEr2Os
395,mp-862618,LiErHg2
396,mp-862632,LiCa2Al
397,mp-862658,LiCu3
398,mp-862661,LiEr2Ru
399,mp-862684,LiHf2Os
400,mp-862716,LiAg3
401,mp-862717,LiAlAu2
402,mp-862764,LiCa2Rh
403,mp-862765,LiGd2Ir
404,mp-862774,LiInPt2
405,mp-862841,LiPm2Os
406,mp-862887,LiSc2Os
407,mp-862926,LiPmAu2
408,mp-862928,LiPmTl2
409,mp-862935,Li2PmSn
410,mp-864597,LiMgTl2
411,mp-864614,LiMg2Pt
412,mp-865101,NaLi2Bi
413,mp-865116,LiSmTl2
414,mp-865349,Li2GdTl
415,mp-865444,LiSc2Pt
416,mp-865483,Li2GdIn
417,mp-865579,Li2ErIn
418,mp-865582,Li2CdPd
419,mp-865612,LiCd3
420,mp-865624,Li2HoTl
421,mp-865658,LiPrGe2
422,mp-865709,LiPrTl2
423,mp-865710,LiSnAu2
