id,pretty_formula
658,LiLa2Os
659,ErIr2
660,LaAs
661,Pm
662,Ru
663,TbIr2
664,Li6Hf2O7
665,LiEuAs
666,La3Ir2
667,Eu
668,LiYGe
669,Lu2Au
670,LiUN2
671,Sc5Ge3
672,SrS
673,LiPm2Al
674,AlNi3
675,HfOs
676,Pr2TeO2
677,LiHo2Os
678,PrN
679,Ce5Si3
680,Ho2O3
681,LiLu2Ir
682,Li2Te
683,Ti2Pd
684,LiAl2Rh
685,CeCu2
686,LiErSn
687,Gd2B5
688,Li2EuSn
689,YbCu
690,Pr5Ru2
691,Zr5Ir3
692,LiThRh2
693,BaTe
694,LiNbRh2
695,YGa
696,CaB4
697,SmSi
698,La5Ge3
699,MnAl
700,Li2YTl
701,Li2GdTl
702,Li4HN
703,Sm5Ir3
704,Li2GaIr
705,SmB4
706,Nd3Ru
707,Ca3MnN3
708,LiTaRu2
709,ScIr
710,YbTe
711,La2Au
712,LiPmZn2
713,Cr7C3
714,LiCl
715,Li2ZrN2
716,TmN
717,ErIr
718,Y3C4
719,YIr
720,LiMg2Pd
721,Sc5As3
722,CeO
723,LiBr
724,Li2Ca
725,LiPm2Ga
726,TaRu3
727,LiCaBi
728,LuRh
729,Y
730,LiRh
731,LiErO2
732,Sm3Os
733,AlN
734,NbIr3
735,TbP
736,Li2YbSn
737,Li3As
738,Ho
739,LuB2
740,HoIr2
741,Ca2Ge
742,Li7NbN4
743,Li2LaTl
744,Lu2O3
745,TiIr
746,LiHoGe
747,LiZrRh2
748,Li2Ga
749,LiZn2Rh
750,LiDy2Ru
751,ThRh3
752,LiZn2Ni
753,LiAlRh2
754,TiCo3
755,Y2C
756,ZrOs2
757,Ti5Si3
758,TiFe2Si
759,EuC6
760,Sr19Li44
761,LiCu3
762,Li2CaSn
763,ZrN
764,YCu2
765,Cr23C6
766,CeN
767,HfN
768,Ca3GeO
769,Li8TeN2
770,Y2O3
771,Pa
772,KCl
773,LiYbBi
774,Dy5Ru2
775,Li5SiN3
776,RbC8
777,Sc44Os7
778,EuTe
779,LiI
780,YbRh2
781,Re
