id,chemsys
406,Cs-I-Li-Y
407,Cs-Sm-Cl-Li
408,Cs-In-Li-F
409,Cs-Dy-Li-Cl
410,P-Zn-Li-S
411,O-Li-Si-Mg
412,Mn-O-Li-Cr
413,Cs-O-Li-W
414,Pt-Sn-Li-Mg
415,Ac-Hg-Li
416,Pt-Li-Si
417,P-S-Li-Al
418,Sn-Cd-Li-S
419,Cd-Li-Ge-S
420,Cs-Cl-Li-Sc
421,N-C-Li-La
422,O-Li-Sb-Sr
423,In-O-Li-W
424,O-Ir-Eu-Li
425,Ir-Sm-O-Li
426,Nb-O-Li-Sr
427,O-Li-Ta-Sr
428,Nd-Ir-O-Li
429,Pr-Ir-O-Li
430,O-Lu-Li-W
431,O-Li-Y-W
432,O-Li-Ho-W
433,Ca-O-Li-Os
434,O-Dy-Li-W
435,H-As-Li-Sr
436,P-Cd-Li-Ba
437,Mn-O-S-Li
438,F-Li-Al-Mg
439,H-Li-Al-Mg
440,Mn-Li-F-V
441,Ca-O-Li-Ta
442,O-As-Li-Th
443,Se-B-O-Li
444,H-K-N-Li
445,Ga-O-Li-Se
446,Ir-O-Li-La
447,Ca-H-Li-Ge
448,Zr-O-As-Li
449,Cl-Li-Tl-Sc
450,Rb-Cl-Li-V
451,Cs-Li-Cr-F
452,I-O-Li-Ba
453,Ga-F-Li-Sr
454,F-V-Li-Sr
455,F-Li-Cr-Sr
456,Rb-O-Li-Ga
457,F-Er-Li-Na
458,F-Li-Ti-Na
459,Mn-O-Li-Ge
460,O-Li-Ge-Mg
461,Zn-Li-Ge-S
462,F-Cd-Li-V
463,Gd-O-Li-W
464,Tb-Ru-O-Li
465,H-N-C-Li
466,Mn-O-Li-Te
467,O-Tm-Li-W
468,Sm-O-Li-W
469,Tb-O-Li-W
470,Tb-B-O-Li
471,F-Cd-Li-Cr
472,Gd-O-S-Li
473,O-Li-Sc-W
474,Nd-O-Li-W
475,Ga-S-Li-Cr
476,In-S-Li-Cr
477,Nd-N-O-Li
478,Yb-O-Li-Te
479,B-O-Dy-Li
480,O-Tm-Li-Te
481,N-Sm-O-Li
482,B-O-Tm-Li
483,Pr-O-Li-Te
484,B-O-Er-Li
485,Pr-B-O-Li
486,B-Sm-O-Li
487,O-Li-Ho-Te
488,O-Ru-Eu-Li
489,O-Lu-Li-Te
490,O-N-Dy-Li
491,K-O-Li-W
492,O-N-Tm-Li
493,Tb-N-O-Li
494,N-O-Li-Y
495,Yb-N-O-Li
496,Gd-N-O-Li
497,B-O-Eu-Li
498,Bi-O-Li-Ba
499,B-O-Li-Ho
500,P-O-Li-Cu
501,Si-Li-Mg-Sr
502,Rb-Zn-Li-S
503,Cd-Li-S-Na
504,F-Co-Li-Mg
505,F-Zn-Li-Rh
506,O-Li-Ge-Rh
507,Mn-O-Li-Rh
508,P-B-C-Li
509,Co-O-Li-Te
510,O-Zn-Li-V
511,Zr-Li-Tl-F
512,P-Zn-Li-Cd
513,O-Li-Ge-Te
514,P-Nd-S-Li
515,U-O-As-Li
516,Cs-Zn-Li-S
517,Cs-S-Li-Mn
518,Ga-Li-Ba-Sb
519,O-Li-Ba-Te
520,U-O-Li-Ba
521,Os-O-Li-La
522,Ca-F-Li-Ga
523,O-Li-Ge-Ti
524,Cs-Li-Al-F
525,F-Li-Sc-Na
526,F-Li-Cr-Na
527,O-S-Li-Mg
528,B-O-Li-Y
529,N-O-Li-Ta
530,O-Tm-Li-Si
531,Yb-O-Li-B
532,Ta-O-Li-Ba
533,O-Li-Fe-W
534,O-Zn-Li-Si
535,Ga-O-Li-Ge
536,Ga-K-O-Li
537,In-O-Li-Ge
538,K-O-Li-Ge
539,Be-Cs-Li-F
540,P-Nd-O-Li
541,O-Li-Si-V
542,Pr-O-Li-W
543,Rb-O-Li-V
