material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-559848,Li4SiO4,4.953,0.003,False,"[238603, 8222]"
mp-11737,Li4SiO4,4.774,0.000,False,[98615]
mp-9172,Li4TiO4,4.559,0.000,False,[75164]
mp-5418,Li6Zr2O7,3.944,0.000,False,"[73835, 73836, 41321]"
mp-28549,Li8SiO6,4.450,0.000,False,[65176]
mp-1138,LiF,8.716,0.000,False,"[52234, 18012, 53839, 44879, 41409, 62361, 44272, 181799]"
mp-23703,LiH,3.018,0.000,False,"[638265, 638263, 44748, 61751, 173192, 61749, 61754, 61752, 26874, 638266, 173177, 173178, 26873, 157495, 173205, 168789, 61750, 187680, 28557, 61753, 187681, 56066, 53975, 603869]"
mp-1188218,LiH2N,3.937,0.277,False,"[237212, 237214, 237211]"
mp-23702,LiH2N,3.144,0.000,False,"[168793, 165467, 182470, 156000, 51679, 10354, 173179, 237203, 182471, 37370, 161017, 168792, 154395]"
mp-561430,LiLuF4,7.901,0.000,False,[152948]
mp-556472,LiYF4,7.816,0.001,False,[96728]
mp-3700,LiYF4,7.827,0.000,False,"[27896, 96727, 73709, 39563]"
mp-7020,LiYO2,4.108,0.000,False,[45511]
mp-1427,Lu2O3,4.023,0.000,False,"[193361, 194467, 428543, 642475, 151762, 40471, 642477, 96211, 33659, 168341]"
mp-17673,Lu3O2F5,5.639,0.000,False,[80365]
mp-1210818,LuF3,7.716,0.000,True,[]
mp-1210775,LuOF,4.943,0.000,True,[]
mp-24383,Mg(H2N)2,3.014,0.000,False,"[16222, 157494, 156001]"
mp-3933,Mg2PN3,3.537,0.000,False,"[27229, 50224]"
mp-549706,MgO,3.287,0.074,False,"[181461, 236618, 161842, 162607]"
mp-1265,MgO,4.445,0.000,False,"[52026, 64928, 77821, 642714, 161059, 159373, 170905, 159369, 248385, 236617, 159376, 61325, 159374, 159367, 64930, 157527, 159372, 77759, 642713, 157528, 52275, 642716, 9863, 173132, 157525, 159378, 642712, 157523, 158103, 157524, 95468, 157526, 188324, 159375, 159371, 64929, 44927, 31051, 104844, 41990, 159368, 161607, 173128, 169450, 88058, 60692, 56143, 60492, 159377, 101007, 181456, 29127, 26958, 104845]"
mp-1009129,MgO,3.002,0.387,False,[166273]
mp-978278,Na(BH)6,5.638,0.000,False,[164649]
mp-568987,Na2BeH4,4.590,0.000,True,[159452]
mp-17183,Na2BeSiO4,4.544,0.000,False,"[34564, 34072]"
mp-6236,Na2BeSiO4,4.564,0.012,False,"[69009, 69010, 202719]"
mp-541989,Na2CN2,3.042,0.000,False,[411341]
mp-540945,Na2Li3GaO4,3.240,0.000,False,[37071]
mp-6426,Na2MgSiO4,3.769,0.002,False,"[84563, 84562]"
mp-6406,Na2MgSiO4,3.765,0.000,False,"[15619, 15618]"
mp-4533,Na2SiO3,3.861,0.000,False,"[24664, 74640, 15388]"
mp-1210364,Na2Sm2B2O7,4.241,0.000,True,[]
mp-990440,Na2ZrO3,4.359,0.000,True,[]
mp-18480,Na3Ca2TaO6,4.244,0.000,False,[280284]
mp-707836,Na3H6Ir,3.310,0.000,False,"[40579, 40575, 40578]"
mp-24747,Na3H6Rh,3.108,0.000,False,"[40576, 94419, 40577]"
mp-1210472,Na3La(BO3)2,3.734,0.000,True,[]
mp-558805,Na3Nd(BO3)2,3.765,0.000,False,[24419]
mp-674333,Na3PO4,3.911,0.000,True,[]
mp-4223,Na3PO4,4.173,0.004,False,"[33718, 33719, 97205]"
mp-1173671,Na3PO4,3.912,0.000,True,[]
mp-4185,Na3ScF6,6.842,0.000,False,"[400723, 50838, 401761]"
mp-556039,Na3Y(BO3)2,3.661,0.000,False,[94981]
mp-558455,Na4Li5(BO3)3,3.826,0.000,False,[61204]
mp-7500,Na4SiO4,3.222,0.000,False,"[15500, 62594]"
mp-14726,Na4TiO4,3.316,0.000,False,[69621]
mp-1192521,Na5Nd4Si4O16F,4.531,0.000,False,[429322]
mp-1192370,Na5Pr4Si4O16F,4.462,0.000,False,[429323]
mp-1192338,Na5Sm4Si4O16F,4.629,0.000,False,[429321]
mp-28559,Na6Be8O11,3.616,0.000,False,[65247]
mp-556168,Na7Al3O8,3.117,0.000,False,[26405]
mp-28017,Na8Ti5O14,3.507,0.000,False,"[251702, 251700, 34441]"
mp-9212,NaAlO2,3.801,0.000,False,[79404]
mp-7748,NaAlO2,4.734,0.065,False,[22216]
mp-38725,NaBH4,6.333,0.000,False,"[167235, 181024, 159241, 261750, 165836]"
mp-1190869,NaBH4,6.400,0.003,False,"[181025, 165709, 166446]"
mp-1101862,NaBH4,6.415,0.001,False,"[165708, 159242]"
mp-22916,NaBr,4.090,0.000,False,"[41440, 53822, 52239, 61672, 18013, 44278, 26910]"
mp-1180133,NaCaH6Ir,3.524,0.000,False,[262195]
