material_id,pretty_formula,FullWindow
mp-1205021,Pr5Ir3,True
mp-946,PrIr2,True
mp-1104160,Pr5Ir2,True
mp-1106395,Pr3Ir,True
mp-865782,Yb3SiO,True
mp-10651,YbSi,True
mp-1077404,YbSi2,True
mp-1207599,Yb2Si,True
mp-1210775,LuOF,True
mp-17673,Lu3O2F5,True
mp-1178173,Ho2TeO2,True
mp-2267,HoB2,True
mp-569281,HoB4,True
mp-11219,LuB2,True
mp-571495,LuB4,True
mp-1185635,Mg149Tl,True
mp-19839,LaGa2,True
mp-2350,LaS,True
mp-672217,La5Ga3,True
mp-1002133,LaGa,True
mp-1018276,CeGa,True
mp-2209,CeGa2,True
mp-862696,CeGa3,True
mp-19920,Ce3Ga,True
mp-510401,GdP,True
mp-753721,GdOF,True
mp-994,YP,True
mp-3637,YOF,True
mp-3700,LiYF4,True
mp-559,YPd3,True
mp-1104019,Y3Pd4,True
mp-1066136,YPd,True
mp-1207777,Y3Pd,True
mp-1078920,LaCu,True
mp-2051,LaCu2,True
mp-2613,LaCu5,True
mp-1194443,LaCu13,True
mp-683,Pr2C3,True
mp-1198712,Y5Ir3,True
mp-2762,YIr2,True
mp-1207785,Y3Ir,True
mp-570421,Sm2B5,True
mp-8546,SmB4,True
mp-6996,SmB6,True
mp-864941,MgSc2,True
mp-1185790,Mg3Sc,True
mp-1185631,Mg149Sc,True
mp-7283,LaB4,True
mp-2680,LaB6,True
mp-2014,DyP,True
mp-1144,ErP,True
mp-35730,BaUO3,True
mp-583034,Ba2U2O7,True
mp-9774,Ba4Sb2O,True
mp-9909,Ba5Sb3,True
mp-976128,Hf5Sc,True
mp-504502,Ta3P,True
mp-1067587,TaP,True
mp-22477,Ta2P,True
mp-718,SnPd3,True
mp-11507,Ni4Mo,True
mp-11506,Ni3Mo,True
mp-1221737,MnFe3P2,True
mp-510522,Zr5Sn3,True
mp-24286,ZrH2,True
mp-1106020,Zr5SiSn3,True
mp-543001,Zr5Sn4,True
mp-11393,Nb3Ga2,True
mp-1981,Ba2Sn,True
mp-872,BaSn,True
mp-570276,ZrZn,True
mp-1401,ZrZn2,True
mp-864889,ZrZn3,True
mp-2610,Tb5Ge3,True
mp-1405,TbGe,True
mp-1673,Tb5Ge4,True
mp-1198302,Nb3Ge,True
mp-16842,Nb5Ge3,True
mp-570050,Yb2Sn,True
mp-569630,NdOs2,True
mp-1188656,Nd3Os,True
mp-10740,Pa,True
mp-5532,Sr2TiO4,True
mp-3349,Sr3Ti2O7,True
mp-1218562,Sr4LaTi5O15,True
mp-18051,La2TiO5,True
mp-695042,Sr9LaTi10O30,True
mp-4651,SrTiO3,True
mp-697068,SiPd2,True
mp-20622,SiPd3,True
mp-2074,Li3Sb,True
mp-13686,Nb5Si3,True
mp-12104,NbSi2,True
mp-582067,Hf3As,True
mp-1190267,Hf3As2,True
mp-1200894,Zr3As,True
mp-1191610,Zr7As4,True
mp-972228,Zr3As2,True
mp-1203256,Zr14As9,True
mp-22898,KI,True
mp-1506,Sm5Ge4,True
mp-972521,SmGe,True
mp-569320,Sm3Ge5,True
mp-4511,La2SO2,True
mp-28255,LaHO,True
mp-24153,LaH2,True
mp-1104116,La2H5,True
mp-1103808,La4H9,True
mp-1205813,Gd2MgSi2,True
mp-2636,GdMg,True
mp-20534,GdMg3,True
mp-601371,GdSi,True
mp-21192,GdSi2,True
mp-1199486,Gd5Si4,True
mp-784631,CrNi2,True
mp-10004,Mo3P,True
mp-1800,Nd2C3,True
mp-2892,BaNd2O4,True
mp-4495,KLiTe,True
mp-1747,K2Te,True
mp-2530,Li2Te,True
mp-7233,La2SeO2,True
mp-1161,LaSe,True
mp-11239,ZrAg,True
mp-2221,Zr2Ag,True
mp-10192,LuP,True
mp-27731,HfH2,True
mp-567290,LaN,True
mp-1842,NbAl3,True
mp-18427,Nb2Al,True
mp-1198692,Ti5Ge4,True
mp-568151,Ti5Ge3,True
mp-1105989,Lu5Ge3,True
mp-1199467,Lu5Ge4,True
mp-1104514,Lu3Ge4,True
