entry_id,pretty_formula
mp-3633,Er(Al2Fe)4
mp-474,ErFe2
mp-569783,ErFe3
mp-1225649,ErAlFe
mp-1762,ErRh2
mp-2381,ErRh
mp-1212861,Er2(Al3Rh)3
mp-1198715,Er3Rh2
mp-30612,Er7Rh3
mp-11437,Er3Rh
mp-1388,DyRh2
mp-232,DyRh
mp-1213083,Dy2(Al3Rh)3
mp-1105786,Dy7Rh3
mp-1205201,Dy3Rh2
mp-1213257,Dy6Nb4Al43
mp-1213435,Er6Nb4Al43
mp-30619,Zr3Co
mp-929,ZrCo2
mp-1215478,Zr2VCo3
mp-542614,VCo3
mp-1585,V3Co
mp-30569,Zr6Co23
mp-2283,ZrCo
mp-628,Zr2Co
mp-1215479,Zr2V3Fe
mp-1079399,V3Fe
mp-866134,VFe3
mp-1718,ZrFe2
mp-1215874,Zr3(V2Fe)2
mp-31205,Zr3Fe
mp-601820,Fe3Co
mp-601848,Fe11Co5
mp-2090,FeCo
mp-601842,Fe9Co7
mp-1215554,Zr2FeCo3
mp-1215704,Zr3Mn8Al
mp-570718,Y2Co17
mp-1294,YCo2
mp-1215958,YFeCo
mp-865373,YCo
mp-2588,YCo3
mp-1192321,YFe3
mp-1105598,Y3Co
mp-1570,YFe2
mp-11385,YFe5
mp-573425,Y8Co5
mp-1208007,Tm(Al5Fe)2
mp-1216757,Tm(AlFe)6
mp-1216685,TmAl7Fe5
mp-571183,TmFe2
mp-1216664,TmAlFe
mp-21050,UFe2
mp-4606,U(Al2Fe)4
mp-20548,U(Al5Fe)2
mp-1216881,U(Al3Fe)3
mp-7187,TiAlNi2
mp-1409,TiNi3
mp-1067248,TiNi
mp-1217044,TiAlNi6
mp-865235,Ti6Al16Ni7
mp-1808,Ti2Ni
mp-742,Ti2Cu
mp-2078,TiCu
mp-1216850,TiCuNi
mp-1188441,TiCu4
mp-1217065,Ti8Cu3Ni
mp-2643,Ti3Cu4
mp-518,Ti5Re24
mp-862589,Re3Pt
mp-30851,Ti3Pt5
mp-569708,TiPt3
mp-1018125,Ti2Re
mp-2339,Ti3Pt
mp-2179,TiRe
mp-1217070,Ti2RePt
mp-998949,TiPt
mp-30852,TiPt8
mp-1217093,Ti2NbAl
mp-1208228,Ti3NbAl2
mp-1152,TiRh3
mp-17413,Ti3Rh5
mp-1217136,Ti8Al15Rh7
mp-1018124,Ti2Rh
mp-866153,TiAlRh2
mp-2583,TiRh
mp-568030,Th(Al5Fe)2
mp-4703,Th(Al2Fe)4
mp-18014,Th7Fe3
mp-1217300,ThAl2Fe3
mp-2689,ThFe5
mp-30639,Th2Fe7
mp-1837,TbCu
mp-1527,TbCu2
mp-11363,TbCu5
mp-1217589,TbCuNi4
mp-1217570,TbCu2Ni3
mp-1549,TbPt3
mp-1079305,TbPt
mp-1104864,Tb3Pt4
mp-1217701,Tb2CuPt
mp-11551,Tb2Pt
mp-1697,TbPt2
mp-1208453,Tb3Pt
mp-1217627,Tb4CuPt3
mp-1104741,Tb(Al2Cu)4
mp-1217839,Tb(AlCu)6
mp-1079357,TbAlCu
mp-1208292,TbAl3Cu2
mp-1193564,Tb(Al5Fe)2
mp-1217840,Tb(AlFe)6
mp-3546,Tb(Al2Fe)4
mp-2584,TbFe3
mp-589,TbFe2
mp-16498,Sm(Al2Cu)4
mp-227,SmCu5
mp-1219105,SmAl3Cu
mp-979972,SmAlCu
mp-1077154,SmCu2
mp-980769,SmCu
mp-1219228,Sm(Al3Fe)3
mp-1219263,Sm6Al3Fe11
mp-1186437,Pd3W
mp-1219940,Pd4W
mp-1210893,Lu(Al5Fe)2
mp-11037,Lu(Al2Fe)4
mp-1222387,LuAlFe
mp-2463,LuFe2
mp-1222470,LuAl7Fe5
mp-1222785,LaNdAl4
mp-1104417,La5Ru2
mp-1202486,La7Ru3
mp-1222913,LaCeRu4
mp-1211232,LaAl3Ni2
mp-1222929,LaAlNi4
mp-2317,LaNi5
mp-1189497,La3Ni
mp-569071,La5Al3Ni2
mp-573855,La7Ni3
mp-1064719,LaNi
mp-582055,La7Ni16
mp-1080524,LaAl5Ni2
mp-2764,LaNi3
mp-1679,La2Ni7
mp-568040,La2AlNi9
mp-582799,EuAl4
mp-20111,EuAl2
mp-1223023,LaEuAl4
mp-1223428,LaCeNi10
mp-983459,HfZr
mp-1400,HfW2
mp-1224067,HfZrW4
mp-675,ZrW2
mp-2363,HfMo2
mp-1224402,HfAlMo
mp-973553,Gd(Al2Cu)4
mp-1225036,Gd(AlCu)6
mp-1080612,GdAlCu
mp-1076933,GdAl3Cu
mp-636253,GdCu5
mp-1077933,GdCu2
mp-614455,GdCu
mp-853,ErNi5
mp-1939,ErNi2
mp-567314,ErNi
mp-1200559,Er2Ni7
mp-1051,ErNi3
mp-1225072,Er2CuNi
mp-3053,DyAlNi
mp-1179,DyNi5
mp-1197874,Dy2Ni7
mp-1225297,DyAlNi4
mp-16807,Dy3(AlNi3)2
mp-421,DyNi2
mp-2738,DyNi
mp-1070646,Dy2AlNi2
mp-7281,Dy3Ni2
mp-1212853,DyAl3Ni2
mp-569385,DyAl2Ni
mp-31180,DyAl4Ni
mp-797,DyPd3
mp-12543,Dy3Pd2
mp-1225399,Dy3NiPd2
mp-2226,DyPd
mp-1104399,Dy3Pd4
mp-571253,Er(Al3Ni)3
mp-31183,ErAl4Ni
mp-31182,ErAl2Ni
mp-1225548,ErAlNi4
mp-17141,Er3(AlNi3)2
mp-13490,ErAl3Ni2
mp-1068244,Er2AlNi2
mp-1078826,ErAlNi
mp-1112,CeCo2
mp-1226612,CeYCo17
mp-2216,Ce2Co17
mp-1227048,CaLaAl4
mp-1227272,Be4AlFe
mp-2225,Be2Fe
mp-1228914,Al4CrNi15
mp-784631,CrNi2
mp-284,AlCo
mp-196,Al5Co2
mp-1194423,Zr6Al16Co7
mp-3909,ZrAlCo2
mp-16488,Al9Co2
mp-12760,Zr6Al2Co
mp-2121,ScAl3
mp-12781,ScAl2Ni
mp-813,ScAl2
mp-850,ScNi2
mp-1197416,Sc2Ni7
mp-10898,ScAlNi2
mp-331,ScAl
mp-11220,Sc2Al
mp-11521,ScNi
mp-867501,Sc2Ni
mp-862259,Sc3Al
mp-67,Sc
mp-12782,YbAl2Ni
mp-1980,YbNi2
mp-1189509,Yb3Ni
mp-18482,Yb4Al23Ni6
mp-2645,YbNi5
mp-1095559,YbNi3
mp-12789,Yb(Al5Fe)2
mp-1677,Be2Mo
mp-1475,Be12Mo
mp-2631,Ba4Al5
mp-1903,BaAl4
mp-16483,BaAl9Fe2
mp-570400,Ba7Al10
mp-567701,Ba21Al40
mp-281,YbCo2
mp-18367,Yb(Al4Co)2
mp-1199900,Yb2Co17
mp-1069443,CeAl3Cu
mp-1226644,CeAl2Cu3
mp-1079868,CeAlCu
mp-1226887,CeAlCu4
mp-2801,CeCu2
mp-20003,Ce(Al2Cu)4
mp-21708,CeCu6
mp-20089,GdFe2
mp-21427,GdPd3
mp-11427,GdPd
mp-20058,GdAlPd
mp-22505,GdAl3Pd2
mp-1025402,SrCu
mp-2726,SrCu5
mp-30817,LiAl2Pd
mp-30816,Li2AlPd
mp-867820,LiAlPd2
mp-1079855,LiPd7
mp-861936,LiPd3
mp-2744,LiPd
mp-728,Li2Pd
mp-11489,Li3Pd
mp-1197547,Li15Pd4
mp-30836,TaPd3
mp-999133,TaPd
mp-30835,TaPd2
mp-1518,CeRh3
mp-3344,CeAlRh
mp-1018117,CeRh
mp-951,CeRh2
mp-1213916,Ce2(Al3Rh)3
mp-2295,CaNi2
mp-3479,CaAl9Ni
mp-774,CaNi5
mp-4054,YAl3Ni
mp-13094,YAl2Ni
mp-4847,Y4Al23Ni6
mp-3602,YAl4Ni
mp-2152,YNi5
mp-574339,Y2Ni7
mp-4577,Y3(AlNi3)2
mp-1200338,Y15Ni32
mp-1364,YNi
mp-1216255,Y2(AlNi)5
mp-604516,Y2AlNi2
mp-642428,Y3Al19Ni5
mp-569196,YNi3
mp-5063,YAl3Ni2
mp-13095,YAlNi
mp-582134,Y3Ni2
mp-1105633,Y3Ni
mp-21158,CeAlPd
mp-4785,CeAl3Pd2
mp-1106138,CeAlPd2
mp-1018086,CePd
mp-1025415,CePd7
mp-2092,CePd3
mp-1025445,CeAl2Pd5
mp-1025404,Ce3Pd5
mp-1103851,Ce3Pd4
mp-1213792,CeAl4Pd
mp-4955,AlVCo2
mp-1188129,ZrPt3
mp-1207440,Zr7Pt10
mp-567927,ZrAlPt
mp-1065995,ZrPt
mp-1205768,ZrPt8
mp-1193272,Zr6Al16Pt7
mp-2838,UNi5
mp-567950,U11Ni16
mp-568430,BaRh2
mp-569025,Ba19Na29Li13
mp-1247744,BaNa
mp-1186055,Na
mp-569200,Eu(Al2Fe)4
mp-504740,Eu(Al4Fe)2
mp-569338,YbAlPd
mp-2547,YbPd
mp-1104397,Yb5Pd2
mp-1080600,YbAl2Pd
