entry_id,pretty_formula
mp-1190809,Li8TeN2
mp-1187702,VW3
mp-1216231,VW
mp-1409,TiNi3
mp-1067248,TiNi
mp-1808,Ti2Ni
mp-1202079,Ti21Mn25
mp-1949,TiMn2
mp-7250,Nb6Co7
mp-977426,NbCo3
mp-1915,Fe2B
mp-1080525,FeB
mp-867816,TaRu3
mp-977390,Ta3Ru
mp-861954,LiTaRu2
mp-1601,TaRu
mp-1218044,Ta3Ru2
mp-650,Be5Pd
mp-570438,Yb8Tl3
mp-864769,LiYb2Tl
mp-865882,Li2SmIn
mp-11454,Hf2Pd
mp-9723,Sr4Li(BN2)3
mp-1077154,SmCu2
mp-710,SmP
mp-980769,SmCu
mp-227,SmCu5
mp-1694,Yb2Ge
mp-680653,Yb8In3
mp-977561,LiTaIr2
mp-1187196,Ta3Ir
mp-571222,CsBr
mp-13276,SrLiP
mp-570097,Sr(Li2P)2
mp-1020016,Li4Ca2Mg(SiN3)2
mp-686208,Li5SiN3
mp-567219,Li4Ca3(SiN3)2
mp-2517,Ca2Si
mp-2432,CaMg2
mp-37906,LiMgN
mp-865965,Li2CaSi
mp-13944,Li3AlN2
mp-1020031,LiCaAlN2
mp-661,AlN
mp-1018783,LiBeB
mp-2542,BeO
mp-2080,SrBe13
mp-567415,Nd2B5
mp-1632,NdB4
mp-568643,RbC8
mp-1095289,LiCaAs
mp-17190,Sc5Ge3
mp-24237,ScH2
mp-972256,Xe
mp-1214417,BaC6
mp-28366,Gd2B5
mp-1105563,GdB4
mp-1103990,EuC6
mp-675941,Li7IN2
mp-11649,Ca3SiO
mp-20211,Mn3Si
mp-10688,CeO
mp-9459,Y4C5
mp-1334,Y2C
mp-1200613,Y3C4
mp-1200885,Y4C7
mp-11219,LuB2
mp-571495,LuB4
mp-1188125,Sm3Ru
mp-1104159,Sm5Ru2
mp-1102438,SmRu2
mp-1103979,Nd5Ru2
mp-1106300,Nd3Ru
mp-1102217,NdRu2
mp-1105741,Pr3Ru
mp-2665,PrRu2
mp-1197932,Pr7Ru3
mp-1104937,Pr5Ru2
mp-542583,EuTe
mp-1102,LuN
mp-30456,SrLiBi
mp-1025402,SrCu
mp-20318,Mn2B
mp-8365,MnB
mp-863727,LiTiRh2
mp-1018124,Ti2Rh
mp-2583,TiRh
mp-585949,CaCu
mp-1882,CaCu5
mp-10961,La5Si3
mp-1202424,Li5La5(SiN3)4
mp-1104121,Li2La2Si3
mp-2252,ScB2
mp-259,AlMo3
mp-22600,Sc3P2
mp-1188800,Sc3P
mp-31214,Ti3P
mp-305,TiFe
mp-2454,TiFe2
mp-1425,TiCr2
mp-1974,CeB4
mp-570007,SmOs2
mp-1190029,Sm3Os
mp-866150,LiSm2Os
mp-1189967,Pr3Os
mp-567339,PrOs2
mp-569630,NdOs2
mp-1188656,Nd3Os
mp-2538,Y5Si3
mp-14208,LiYSi
