material_id,pretty_formula,FullWindow
mp-568646,Ta3Si,True
mp-1989,Ta5Si3,True
mp-1387,AlV3,True
mp-1183162,AlFe3,True
mp-2658,AlFe,True
mp-978951,SmAl,True
mp-2358,SmAl2,True
mp-571222,CsBr,True
mp-1014229,Ti2Zn,True
mp-608,TiCo3,True
mp-823,TiCo,True
mp-1191331,Ti2Co,True
mp-2057,DyB2,True
mp-2345,Dy2O3,True
mp-2719,DyB4,True
mp-749,SmN,True
mp-218,Sm2O3,True
mp-2114,YN,True
mp-22898,KI,True
mp-1145,TiB2,True
mp-7857,TiB,True
mp-1025170,Ti3B4,True
mp-2675,MgNi2,True
mp-568151,Ti5Ge3,True
mp-2801,CeCu2,True
mp-2154,CeP,True
mp-581942,CeCu6,True
mp-573697,CsCl,True
mp-492,TiN,True
mp-8282,Ti2N,True
mp-865716,YbCl2,True
mp-2117,TbN,True
mp-1056,Tb2O3,True
mp-1183837,Co3Ni,True
mp-505002,Sc5As3,True
mp-1095642,Eu2Ge,True
mp-20587,EuS,True
mp-946,PrIr2,True
mp-1205021,Pr5Ir3,True
mp-1104160,Pr5Ir2,True
mp-1106395,Pr3Ir,True
mp-981,SrF2,True
mp-1101970,TbRu2,True
mp-1189033,Tb3Ru,True
mp-2267,HoB2,True
mp-812,Ho2O3,True
mp-569281,HoB4,True
mp-10688,CeO,True
mp-1767,Tm2O3,True
mp-1189863,Tm5Si3,True
mp-1066975,TmSi,True
mp-1216,YbO,True
mp-2643,Ti3Cu4,True
mp-2078,TiCu,True
mp-742,Ti2Cu,True
mp-12546,TiCu3,True
mp-1245,Sr2N,True
mp-615,YMg,True
mp-23251,KBr,True
mp-643,ThO2,True
mp-1779,YbTe,True
mp-11506,Ni3Mo,True
mp-11507,Ni4Mo,True
mp-1189967,Pr3Os,True
mp-567339,PrOs2,True
mp-1105633,Y3Ni,True
mp-582134,Y3Ni2,True
mp-1364,YNi,True
mp-2152,YNi5,True
mp-574339,Y2Ni7,True
mp-1200338,Y15Ni32,True
mp-569196,YNi3,True
mp-22916,NaBr,True
mp-1253,BaSe,True
mp-510402,GdS,True
mp-4805,Gd2SO2,True
mp-7283,LaB4,True
mp-2680,LaB6,True
mp-1184,La2C3,True
mp-2367,LaC2,True
mp-1410,DyN,True
mp-343,PrN,True
mp-1078920,LaCu,True
mp-2051,LaCu2,True
mp-2613,LaCu5,True
mp-969,YbAl2,True
mp-865934,YbF2,True
mp-1212961,Eu2N,True
mp-567290,LaN,True
mp-2599,NdN,True
mp-2823,NdP,True
mp-12669,Dy2SO2,True
mp-1189298,YbB4,True
mp-419,YbB6,True
mp-1079585,Nb2N,True
mp-1199558,Sm5Ir3,True
mp-7342,Sm3Ir,True
mp-1104500,Sm5Ir2,True
mp-1025402,SrCu,True
mp-2116,ZrMn2,True
mp-17190,Sc5Ge3,True
mp-242,SrB6,True
mp-1087,SrS,True
mp-2576,Sr2Ge,True
mp-304,Ca2Ge,True
mp-865,CaB6,True
mp-1213975,CaB4,True
mp-1570,YFe2,True
mp-11385,YFe5,True
mp-23713,CaH2,True
mp-1463,LaIr2,True
mp-1199235,La5Ir3,True
mp-1104396,La5Ir2,True
mp-1104303,La3Ir2,True
mp-570421,Sm2B5,True
mp-8546,SmB4,True
mp-12614,Ca2Cu,True
mp-585949,CaCu,True
mp-1882,CaCu5,True
mp-979289,TaW3,True
mp-1187206,Ta3W,True
mp-1217811,TaW,True
mp-1079438,Ta2N,True
mp-510401,GdP,True
mp-625,Mg3Ru2,True
mp-661,AlN,True
mp-22867,RbBr,True
mp-614724,Cs3CrF7,True
mp-1188125,Sm3Ru,True
mp-1104159,Sm5Ru2,True
mp-1102438,SmRu2,True
mp-800,TmB2,True
mp-568143,TmB4,True
mp-980757,Sm5Sb3,True
