material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-642817,KHO,3.640,0.002,False,"[65164, 65163]"
mp-626785,KHO,3.678,0.000,True,[]
mp-1202279,KHoF4,6.892,0.000,False,[186998]
mp-754883,KHoO2,3.976,0.000,True,[]
mp-1078836,KI,3.715,0.021,False,[20020]
mp-22901,KI,3.240,0.070,False,"[61661, 61555]"
mp-22898,KI,3.851,0.000,False,"[53843, 44283, 52244, 22158, 53827]"
mp-554034,KLa2NbO6,3.751,0.000,False,[160450]
mp-1223447,KLaF4,6.123,0.000,True,[]
mp-7958,KLaO2,3.889,0.000,False,[27001]
mp-558628,KLi2BO3,3.999,0.000,False,[48177]
mp-557268,KLi4AlO4,3.973,0.000,False,[65260]
mp-556902,KLi4NbO5,3.761,0.000,False,[73124]
mp-9059,KLi6TaO6,4.382,0.000,False,[73159]
mp-8430,KLiS,3.058,0.000,False,"[47229, 290450]"
mp-1178135,KLuO2,3.940,0.000,True,[]
mp-1191101,KMgBO3,4.385,0.000,False,[174336]
mp-827,KN3,4.156,0.000,False,"[28896, 34270, 641260, 183847, 24007, 183850, 25006, 183849, 155168, 34269, 183848]"
mp-861868,KNaLaTaO5,3.716,0.000,False,[419855]
mp-558212,KNaNdNbO5,3.445,0.000,False,[420038]
mp-861607,KNaNdTaO5,3.510,0.000,False,[419856]
mp-558317,KNaPrNbO5,3.413,0.000,False,[420039]
mp-861944,KNaPrTaO5,3.455,0.000,False,[419857]
mp-556438,KNaSmNbO5,3.494,0.000,False,[420040]
mp-861957,KNaSmTaO5,3.896,0.000,False,[419858]
mp-560767,KNaTiO3,3.536,0.000,False,[47177]
mp-558128,KNd2NbO6,3.617,0.000,False,[160451]
mp-1211343,KNdF4,7.165,0.000,True,[]
mp-754158,KNdO2,3.729,0.000,True,[]
mp-1206970,KPaO3,3.082,0.000,True,[]
mp-1223421,KPr9(Si3O13)2,4.443,0.000,True,[]
mp-18040,KPrF4,7.131,0.000,False,[281289]
mp-4519,KPrO2,3.680,0.000,False,"[40266, 15157]"
mp-9349,KRb2ScF6,6.381,0.012,False,[81683]
mp-6500,KRb2ScF6,6.598,0.000,False,"[81679, 81680]"
mp-9348,KRb2ScF6,6.517,0.002,False,[81681]
mp-8188,KScO2,3.625,0.000,False,[34958]
mp-1029418,KSi2N3,3.731,0.000,True,[]
mp-1029584,KSi5N7,3.417,0.000,True,[]
mp-17697,KSmF4,7.157,0.000,False,[20051]
