material_id,pretty_formula,FullWindow
mp-710,SmP,True
mp-31380,SmPd,True
mp-1104311,Sm3Pd4,True
mp-662804,Sm10Pd21,True
mp-357,SmPd3,True
mp-19830,ErN,True
mp-551675,Li3UO4,True
mp-8609,Li6UO6,True
mp-1072248,EuSi2,True
mp-21279,EuSi,True
mp-1190061,Eu5Si3,True
mp-1751,ThSb,True
mp-736,Li3P,True
mp-11270,MnBe2,True
mp-1104792,MnBe12,True
mp-1153,Li2S,True
mp-1934,LiZn,True
mp-975799,LiZn3,True
mp-1077209,TmCu2,True
mp-985,TmCu,True
mp-2822,TmSe,True
mp-30600,TmCu5,True
mp-677,SrCd2,True
mp-2585,Sr5Sb3,True
mp-30496,SrCd,True
mp-542484,Sr5Cd3,True
mp-20995,Eu4As3,True
mp-1106024,Eu5As3,True
mp-1169,ScCu,True
mp-1018149,ScCu2,True
mp-1025122,LuCu2,True
mp-580136,LuCu5,True
mp-1017985,TiAg,True
mp-979115,Ti2Ag,True
mp-980769,SmCu,True
mp-1077154,SmCu2,True
mp-227,SmCu5,True
mp-1185593,Mg149P,True
mp-1185632,Mg149Se,True
mp-1077788,BPt2,True
mp-2807,ScP,True
mp-22600,Sc3P2,True
mp-1188800,Sc3P,True
mp-1186074,Na3Pd,True
mp-862658,LiCu3,True
mp-742,Ti2Cu,True
mp-1188441,TiCu4,True
mp-2078,TiCu,True
mp-2643,Ti3Cu4,True
mp-12546,TiCu3,True
mp-1079111,EuTiO3,True
mp-1025200,Eu2TiO4,True
mp-12670,Ho2SO2,True
mp-1029,BaF2,True
mp-2080,SrBe13,True
mp-981,SrF2,True
mp-4764,Pr2SeO2,True
mp-12802,AlCu3,True
mp-985806,Al2Cu,True
mp-2500,AlCu,True
mp-593,Al4Cu9,True
mp-20712,EuGe,True
mp-1095642,Eu2Ge,True
mp-1188934,Eu5Ge3,True
mp-530539,Sr4U2O9,True
mp-3956,Sr3UO6,True
mp-1898,CeSi2,True
mp-570175,Ce5Si3,True
mp-21115,CeSi,True
mp-1196829,Ce5Si4,True
mp-11506,Ni3Mo,True
mp-11507,Ni4Mo,True
mp-890,NdIr2,True
mp-30522,Nd5Ir3,True
mp-1104605,Nd5Ir2,True
mp-1189686,Nd3Ir,True
mp-1777,Li15Ge4,True
mp-27932,Li9Ge4,True
mp-1188469,La5Ge3,True
mp-1084830,LaGe,True
mp-1211472,La4Ge7,True
mp-1738,SmAs,True
mp-19891,Pu2C3,True
mp-980757,Sm5Sb3,True
mp-2281,SmSb,True
mp-2634,NbN,True
mp-1079585,Nb2N,True
mp-2760,Nb6C5,True
mp-569989,Nb2C,True
mp-12659,Mn2Nb,True
mp-542583,EuTe,True
mp-11345,ZrP,True
mp-22447,Zr3P,True
mp-647729,Zr14P9,True
mp-583740,Zr7P4,True
mp-2296,Ni3P,True
mp-2790,Ni12P5,True
mp-17833,Ba3GeO,True
mp-13922,Ba2Ge,True
mp-9858,Ba3Ge4,True
mp-1188954,Ba3Ge5,True
mp-2627,DyAs,True
mp-510557,CsN3,True
mp-1079938,TlPd3,True
mp-1063174,GdAu2,True
mp-635426,GdAu,True
mp-2475,SmAg,True
mp-1219378,Sm14Ag51,True
mp-2167,DyAg,True
mp-1225847,Dy14Ag51,True
mp-2618,DyAg2,True
mp-464,HoSe,True
mp-8300,Ba4As2O,True
mp-1221,V3Ge,True
mp-752658,Y2SeO2,True
mp-1753,ThAs,True
mp-1405,TbGe,True
mp-2610,Tb5Ge3,True
mp-1673,Tb5Ge4,True
mp-1193534,YBe13,True
mp-965,TbB2,True
mp-568225,TbB4,True
mp-13972,Sm2SeO2,True
mp-21075,HfC,True
mp-12960,Er5Sb3,True
mp-2191,ErSb,True
mp-2593,AlNi3,True
mp-622209,Al3Ni,True
mp-1057,Al3Ni2,True
mp-16515,Al4Ni3,True
mp-1487,AlNi,True
mp-16514,Al3Ni5,True
mp-29621,Ba5Bi3,True
mp-1189863,Tm5Si3,True
mp-1066975,TmSi,True
mp-1203324,Zr3Ge,True
mp-17706,Zr5Ge3,True
mp-1025513,ZrGe,True
mp-1200749,Zr5Ge4,True
mp-865166,HfPd5,True
mp-11453,HfPd3,True
mp-11454,Hf2Pd,True
mp-1007692,HfPd,True
mp-4657,Li5GaO4,True
mp-8253,Na5ReO6,True
mp-1199558,Sm5Ir3,True
mp-7342,Sm3Ir,True
mp-1104500,Sm5Ir2,True
mp-1104610,Eu5Pd2,True
mp-1854,EuPd2,True
mp-1018147,EuPd,True
mp-1105286,Eu3Pd2,True
mp-1002115,LaPd,True
mp-1104435,La3Pd4,True
mp-674,LaPd3,True
mp-1105925,La7Pd3,True
mp-30753,LaPd5,True
mp-567412,Y5Sn3,True
mp-1199133,Y11Sn10,True
mp-994,YP,True
mp-1219144,Sm2AsSe,True
mp-661,AlN,True
mp-1472,ZrB2,True
mp-27191,Zr9S2,True
mp-1197374,Zr2S,True
mp-708,LaAs,True
mp-30975,Na3BO3,True
mp-7664,Na6ZnO4,True
mp-19334,Na4WO5,True
mp-1220316,NbW,True
mp-3744,NaNbO2,True
mp-27247,Na3NbO4,True
mp-5477,Na5NbO5,True
mp-972071,V3Mo,True
mp-19391,NaVO2,True
mp-754829,Na4VO4,True
mp-8957,Na5TaO5,True
mp-1187695,V3Cr,True
mp-1216394,VCr,True
mp-1187696,VCr3,True
mp-578604,NaCrO2,True
mp-2542,BeO,True
mp-27757,Be4B,True
mp-1188434,Y5Tl3,True
mp-11575,YTl,True
mp-1101816,Lu2Au,True
mp-11249,LuAu,True
mp-1018152,LuAu2,True
mp-11219,LuB2,True
mp-10192,LuP,True
mp-571495,LuB4,True
mp-1104289,LuB12,True
mp-1185565,Mg149Mo,True
mp-1185556,Mg149H,True
mp-21256,Mn7C3,True
mp-542830,Mn23C6,True
mp-1188076,ThMg149,True
mp-642644,V2H,True
mp-554546,Eu2SiO4,True
mp-206,Tb5Si3,True
mp-1924,TbSi,True
mp-6964,NaTbO2,True
mp-7500,Na4SiO4,True
mp-4533,Na2SiO3,True
mp-754027,NaSmO2,True
mp-8128,NaNdO2,True
mp-1569,Be2C,True
mp-2390,YbP,True
mp-1187909,Yb3P,True
mp-19340,LiVO2,True
mp-551835,Ba2I2O,True
mp-1196393,Y3Sb,True
mp-568320,Y4Sb3,True
mp-215,YSb,True
mp-7020,LiYO2,True
mp-7137,LiTbO2,True
mp-10004,Mo3P,True
mp-219,MoP,True
mp-1552,Mo2C,True
mp-7822,Sc5Si3,True
mp-216,Sc2O3,True
mp-1727,SrSi2,True
mp-9969,ScSi,True
mp-2661,SrSi,True
mp-18510,Sr2SiO4,True
mp-770771,SrSc2O4,True
mp-30949,Sr3SiO,True
mp-746,Sr5Si3,True
mp-1106,Sr2Si,True
mp-505002,Sc5As3,True
mp-17695,Sc5Sn3,True
mp-1188926,Sc3As2,True
mp-2052,ScAs,True
mp-865168,Be3Ni,True
mp-1033,BeNi,True
mp-1892,Ba2N,True
mp-29199,BaCuN,True
mp-1001,BaN2,True
mp-30428,BaCu,True
mp-10736,Ba3N,True
mp-568643,RbC8,True
mp-14726,Na4TiO4,True
mp-242,SrB6,True
mp-556695,NaSrBO3,True
mp-16432,Sr3(BO3)2,True
mp-1241,BaAg2,True
mp-1000,BaTe,True
mp-11840,BaAg,True
mp-1814,BaAg5,True
mp-12612,Ba3Ag2,True
mp-504812,Hf3P,True
mp-20672,Hf3P2,True
mp-9953,HfP,True
mp-504659,Hf2P,True
mp-7226,V3Ni,True
mp-171,VNi3,True
mp-11531,VNi2,True
mp-1216708,V3Ni2,True
mp-9712,Ba3BPO3,True
mp-954,BaB6,True
mp-755417,Ba3(BO3)2,True
mp-28164,Ba4P2O,True
mp-30429,Ba8Ga7,True
mp-1219,BaGa2,True
mp-335,BaGa4,True
mp-1105598,Y3Co,True
mp-865373,YCo,True
mp-1294,YCo2,True
mp-3952,BaY2O4,True
mp-19870,GaFe3,True
mp-636368,Ga3Fe,True
mp-804,GaN,True
mp-1804,Fe3N,True
mp-6988,FeN,True
mp-1185592,Mg149Fe,True
mp-22204,Co2P,True
mp-1185590,Mg149I,True
mp-1039148,CaMg,True
mp-2432,CaMg2,True
mp-1184449,CaMg149,True
mp-1185641,Mg149V,True
mp-21895,Na15Pb4,True
mp-568636,TiCr2,True
mp-11580,TiCrP,True
mp-1217052,Ti6P2O,True
mp-1102537,NbVP,True
mp-3397,Ba2TiO4,True
mp-292,V3As,True
mp-1199486,Gd5Si4,True
mp-601371,GdSi,True
mp-21192,GdSi2,True
mp-952,MoPt2,True
mp-999502,MoPt,True
mp-1278,Zr2Si,True
mp-893,ZrSi,True
mp-1207024,Zr3Si2,True
mp-8789,Ca4As2O,True
mp-23713,CaH2,True
mp-10047,Ca5As3,True
mp-1194887,Ca4As3,True
mp-680339,Mn4Si7,True
mp-1431,MnSi,True
mp-20211,Mn3Si,True
mp-5088,NaGdO2,True
mp-13686,Nb5Si3,True
mp-12104,NbSi2,True
mp-2836,Dy5Si3,True
mp-2620,DySi,True
mp-569825,Dy10Si17,True
mp-21524,SrNiN,True
mp-1245,Sr2N,True
mp-10564,SrN2,True
mp-29973,SrN,True
mp-2049,ZrMo2,True
mp-16488,Al9Co2,True
mp-196,Al5Co2,True
mp-284,AlCo,True
mp-974437,Re2C,True
mp-24286,ZrH2,True
mp-24658,SmH2,True
mp-753721,GdOF,True
mp-1224869,Gd2C,True
mp-8301,Gd2CF2,True
mp-1189998,Gd2C3,True
mp-1800,Nd2C3,True
mp-24096,NdH2,True
mp-1190994,NdHO,True
mp-1219429,Sc2CO,True
mp-24237,ScH2,True
mp-29941,Sc2C,True
mp-15661,Sc4C3,True
mp-28733,Sc3C4,True
mp-1173761,Na2CeO3,True
mp-3972,Ce2SO2,True
mp-510522,Zr5Sn3,True
mp-543001,Zr5Sn4,True
mp-559426,Pr2Zr2O7,True
mp-1842,NbAl3,True
mp-18427,Nb2Al,True
mp-1104164,Ba3Au2,True
mp-1214417,BaC6,True
mp-570775,BaAu,True
mp-30363,BaAu2,True
mp-9488,SmOF,True
mp-1025489,SmSi,True
mp-1106373,Sm5Si3,True
mp-8298,Sr4P2O,True
mp-32635,Sr3P2,True
mp-7931,SrP,True
mp-505622,Mn4N,True
mp-9981,Mn2N,True
mp-28861,CsC8,True
mp-2157,Co3W,True
mp-1222825,Lu4Zr3O12,True
mp-29792,CaNb2O4,True
mp-1228030,Ba4Bi2O,True
mp-567280,Yb5Bi3,True
mp-23171,PrBi,True
mp-1105548,Pr5Bi3,True
mp-17412,BaPr2O4,True
mp-5977,Nd2Zr2O7,True
mp-988,Si3N4,True
mp-1223129,Li4SiO4,True
